route_id,step,origin,destination,tram,edge_type,relationship_type,edge_cost,cumulativeCost,totalCost
SM-126 to Poblenou / 22@,1,SM-126,B-7-1070,Catalunya - Gran Via - Pau Claris,Exchange,EXCHANGE,17.076523717828064,17.076523717828064,42.07673773115824
SM-126 to Poblenou / 22@,2,B-7-1070,B-7-149,Gran Via - Pau Claris - Gran Via - Llúria,Bus,TRAVEL_BUS,1.361179031507178,18.43770274933524,42.07673773115824
SM-126 to Poblenou / 22@,3,B-7-149,B-7-125,Gran Via - Llúria - Metro Tetuan,Bus,TRAVEL_BUS,1.505626204268084,19.943328953603324,42.07673773115824
SM-126 to Poblenou / 22@,4,B-7-125,B-7-1319,Metro Tetuan - Gran Via - Roger de Flor,Bus,TRAVEL_BUS,1.9544603645789205,21.897789318182245,42.07673773115824
SM-126 to Poblenou / 22@,5,B-7-1319,B-7-914,Gran Via - Roger de Flor - Gran Via - Marina,Bus,TRAVEL_BUS,1.9739207072177876,23.87171002540003,42.07673773115824
SM-126 to Poblenou / 22@,6,B-7-914,B-7-499,Gran Via - Marina - Gran Via - Padilla,Bus,TRAVEL_BUS,1.4951490987748903,25.366859124174923,42.07673773115824
SM-126 to Poblenou / 22@,7,B-7-499,B-7-32,Gran Via - Padilla - Metro Glòries,Bus,TRAVEL_BUS,2.829923283422174,28.196782407597098,42.07673773115824
SM-126 to Poblenou / 22@,8,B-7-32,B-7-1879,Metro Glòries - Diagonal - Ciutat de Granada,Bus,TRAVEL_BUS,1.5172608773693317,29.71404328496643,42.07673773115824
SM-126 to Poblenou / 22@,9,B-7-1879,B-7-3469,Diagonal - Ciutat de Granada - Tànger - Llacuna,Bus,TRAVEL_BUS,1.204138852142587,30.918182137109017,42.07673773115824
SM-126 to Poblenou / 22@,10,B-7-3469,B-7-2262,Tànger - Llacuna - Diagonal - Rambla del Poblenou,Bus,TRAVEL_BUS,0.6210555940492198,31.539237731158238,42.07673773115824
SM-126 to Poblenou / 22@,11,B-7-2262,Poblenou / 22@,Diagonal - Rambla del Poblenou - Poblenou / 22@,Egress,EGRESS,10.537500000000001,42.07673773115824,42.07673773115824
