service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
129.793.20,1,1,1,1,1,0,0,20260420,20281231
129.1558.20,0,0,0,0,0,0,0,20260420,20281231
129.314.20,0,0,0,0,0,0,1,20260420,20281231
129.494.20,0,0,0,0,0,1,0,20260420,20281231
130.2231.5,1,1,1,1,1,1,1,20210714,20261231
130.2232.5,0,0,0,0,0,0,0,20210714,20261231
132.793.25,1,1,1,1,1,0,0,20260625,20281231
132.1558.25,0,0,0,0,0,0,0,20260625,20281231
132.314.25,0,0,0,0,0,0,1,20260625,20281231
132.494.25,0,0,0,0,0,1,0,20260625,20281231
139.1603.15,1,1,1,1,1,0,0,20230918,20281231
139.494.15,0,0,0,0,0,1,0,20230918,20281231
141.1603.37,1,1,1,1,1,0,0,20260615,20281231
141.314.37,0,0,0,0,0,0,1,20260615,20281231
141.494.37,0,0,0,0,0,1,0,20260615,20281231
142.793.50,1,1,1,1,1,0,0,20260704,20281231
142.1558.50,0,0,0,0,0,0,0,20260704,20281231
142.314.50,0,0,0,0,0,0,1,20260704,20281231
142.494.50,0,0,0,0,0,1,0,20260704,20281231
142.494.51,0,0,0,0,0,1,0,20260704,20281231
143.793.30,1,1,1,1,1,0,0,20260727,20291231
143.314.30,0,0,0,0,0,0,1,20260727,20291231
143.764.30,0,0,0,0,0,1,0,20260727,20291231
146.793.30,1,1,1,1,1,0,0,20260605,20281231
146.1558.30,0,0,0,0,0,0,0,20260605,20281231
146.314.30,0,0,0,0,0,0,1,20260605,20281231
146.494.30,0,0,0,0,0,1,0,20260605,20281231
148.793.5,1,1,1,1,1,0,0,20260429,20281231
148.989.5,0,0,0,0,0,1,1,20260429,20281231
156.1603.24,1,1,1,1,1,0,0,20260626,20281231
156.314.24,0,0,0,0,0,0,1,20260626,20281231
156.494.24,0,0,0,0,0,1,0,20260626,20281231
157.793.22,1,1,1,1,1,0,0,20260401,20271231
157.1558.22,0,0,0,0,0,0,0,20260401,20271231
157.934.22,0,0,0,0,0,0,0,20260401,20271231
157.314.22,0,0,0,0,0,0,1,20260401,20271231
157.494.22,0,0,0,0,0,1,0,20260401,20271231
158.2253.11,1,1,1,1,1,0,0,20231129,20261231
158.764.11,0,0,0,0,0,1,0,20231129,20261231
163.2248.14,0,0,0,0,0,0,1,20231214,20281231
163.2247.14,1,1,1,1,1,1,0,20231214,20281231
164.793.16,1,1,1,1,1,0,0,20260706,20281231
164.2170.16,1,1,1,1,1,0,0,20260706,20281231
164.1558.16,0,0,0,0,0,0,0,20260706,20281231
164.314.16,0,0,0,0,0,0,1,20260706,20281231
164.494.16,0,0,0,0,0,1,0,20260706,20281231
165.793.23,1,1,1,1,1,0,0,20251229,20271231
165.764.23,0,0,0,0,0,1,0,20251229,20271231
165.793.24,1,1,1,1,1,0,0,20251229,20271231
165.764.24,0,0,0,0,0,1,0,20251229,20271231
173.793.17,1,1,1,1,1,0,0,20260312,20281231
173.314.17,0,0,0,0,0,0,1,20260312,20281231
173.764.17,0,0,0,0,0,1,0,20260312,20281231
177.2170.16,1,1,1,1,1,0,0,20251126,20281231
177.314.16,0,0,0,0,0,0,1,20251126,20281231
177.2255.16,0,0,0,0,0,0,0,20251126,20281231
177.764.16,0,0,0,0,0,1,0,20251126,20281231
177.2170.17,1,1,1,1,1,0,0,20251126,20281231
181.793.28,1,1,1,1,1,0,0,20260527,20271231
181.314.28,0,0,0,0,0,0,1,20260527,20271231
181.764.28,0,0,0,0,0,1,0,20260527,20271231
194.793.34,1,1,1,1,1,0,0,20260221,20271231
194.314.34,0,0,0,0,0,0,1,20260221,20271231
194.764.34,0,0,0,0,0,1,0,20260221,20271231
195.793.23,1,1,1,1,1,0,0,20230607,20271231
195.989.23,0,0,0,0,0,1,1,20230607,20271231
195.314.23,0,0,0,0,0,0,1,20230607,20271231
195.764.23,0,0,0,0,0,1,0,20230607,20271231
196.793.25,1,1,1,1,1,0,0,20260413,20271231
196.314.25,0,0,0,0,0,0,1,20260413,20271231
196.764.25,0,0,0,0,0,1,0,20260413,20271231
198.1603.16,1,1,1,1,1,0,0,20260625,20260930
198.314.16,0,0,0,0,0,0,1,20260625,20260930
198.494.16,0,0,0,0,0,1,0,20260625,20260930
199.2265.32,1,1,1,1,1,1,1,20260512,20281231
199.2266.32,0,0,0,0,0,0,0,20260512,20281231
200.793.33,1,1,1,1,1,0,0,20260701,20281231
200.314.33,0,0,0,0,0,0,1,20260701,20281231
200.764.33,0,0,0,0,0,1,0,20260701,20281231
202.1169.25,1,1,1,1,1,1,0,20260319,20281231
202.314.25,0,0,0,0,0,0,1,20260319,20281231
204.793.40,1,1,1,1,1,0,0,20260709,20281231
204.1558.40,0,0,0,0,0,0,0,20260709,20281231
204.934.40,0,0,0,0,0,0,0,20260709,20281231
204.494.40,0,0,0,0,0,1,0,20260709,20281231
206.793.45,1,1,1,1,1,0,0,20260709,20281231
206.1558.45,0,0,0,0,0,0,0,20260709,20281231
206.934.45,0,0,0,0,0,0,0,20260709,20281231
206.1654.45,0,0,0,0,0,1,1,20260709,20281231
207.1169.23,1,1,1,1,1,1,0,20250227,20261231
207.314.23,0,0,0,0,0,0,1,20250227,20261231
209.1169.18,1,1,1,1,1,1,0,20240722,20271231
209.314.18,0,0,0,0,0,0,1,20240722,20271231
210.2243.18,0,0,0,0,0,0,0,20260518,20281231
210.2244.18,1,1,1,1,1,1,1,20260518,20281231
211.2293.26,1,1,0,1,1,0,0,20250506,20281231
211.2291.26,1,1,0,1,1,1,1,20250506,20281231
211.2248.26,0,0,0,0,0,0,1,20250506,20281231
211.2294.26,0,0,1,0,0,0,0,20250506,20281231
211.2292.26,0,0,1,0,0,0,0,20250506,20281231
211.2295.26,0,0,0,0,0,1,0,20250506,20281231
211.2294.27,0,0,1,0,0,0,0,20250506,20281231
211.2292.27,0,0,1,0,0,0,0,20250506,20281231
212.2282.39,0,0,1,0,0,0,0,20260423,20271231
212.2245.39,0,0,0,0,0,1,1,20260423,20271231
212.2246.39,0,0,0,0,0,0,0,20260423,20271231
212.2284.39,1,1,0,1,1,0,0,20260423,20271231
212.2282.40,0,0,1,0,0,0,0,20260423,20271231
213.2282.31,0,0,1,0,0,0,0,20250506,20261231
213.314.31,0,0,0,0,0,0,1,20250506,20261231
213.494.31,0,0,0,0,0,1,0,20250506,20261231
213.2284.31,1,1,0,1,1,0,0,20250506,20261231
213.2282.32,0,0,1,0,0,0,0,20250505,20261231
214.793.22,1,1,1,1,1,0,0,20260511,20281231
214.314.22,0,0,0,0,0,0,1,20260511,20281231
214.764.22,0,0,0,0,0,1,0,20260511,20281231
