service_id,date,exception_type
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260624,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260625,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260627,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260628,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260704,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260705,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260711,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260712,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260718,1
16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,20260719,1
16100242-FEINERS,20260622,1
16100242-FEINERS,20260623,1
16100242-FEINERS,20260626,1
16100242-FEINERS,20260629,1
16100242-FEINERS,20260630,1
16100242-FEINERS,20260701,1
16100242-FEINERS,20260702,1
16100242-FEINERS,20260703,1
16100242-FEINERS,20260706,1
16100242-FEINERS,20260707,1
16100242-FEINERS,20260708,1
16100242-FEINERS,20260709,1
16100242-FEINERS,20260710,1
16100242-FEINERS,20260713,1
16100242-FEINERS,20260714,1
16100242-FEINERS,20260715,1
16100242-FEINERS,20260716,1
16100242-FEINERS,20260717,1
16100242-FEINERS,20260720,1
16100242-FEINERS,20260721,1
16100242-FEINERS,20260722,1
26600273-DISSABTES,20260627,1
26600273-DISSABTES,20260704,1
26600273-DISSABTES,20260711,1
26600273-DISSABTES,20260718,1
26600273-FEINERS,20260622,1
26600273-FEINERS,20260623,1
26600273-FEINERS,20260625,1
26600273-FEINERS,20260626,1
26600273-FEINERS,20260629,1
26600273-FEINERS,20260630,1
26600273-FEINERS,20260701,1
26600273-FEINERS,20260702,1
26600273-FEINERS,20260703,1
26600273-FEINERS,20260706,1
26600273-FEINERS,20260707,1
26600273-FEINERS,20260708,1
26600273-FEINERS,20260709,1
26600273-FEINERS,20260710,1
26600273-FEINERS,20260713,1
26600273-FEINERS,20260714,1
26600273-FEINERS,20260715,1
26600273-FEINERS,20260716,1
26600273-FEINERS,20260717,1
26600273-FEINERS,20260720,1
26600273-FEINERS,20260721,1
26600273-FEINERS,20260722,1
26600334-DISSABTES,20260627,1
26600334-DISSABTES,20260704,1
26600334-DISSABTES,20260711,1
26600334-DISSABTES,20260718,1
26600434-FEINERS,20260622,1
26600434-FEINERS,20260623,1
26600434-FEINERS,20260625,1
26600434-FEINERS,20260626,1
26600434-FEINERS,20260629,1
26600434-FEINERS,20260630,1
26600434-FEINERS,20260701,1
26600434-FEINERS,20260702,1
26600434-FEINERS,20260703,1
26600434-FEINERS,20260706,1
26600434-FEINERS,20260707,1
26600434-FEINERS,20260708,1
26600434-FEINERS,20260709,1
26600434-FEINERS,20260710,1
26600434-FEINERS,20260713,1
26600434-FEINERS,20260714,1
26600434-FEINERS,20260715,1
26600434-FEINERS,20260716,1
26600434-FEINERS,20260717,1
26600434-FEINERS,20260720,1
26600434-FEINERS,20260721,1
26600434-FEINERS,20260722,1
33500373-FEINERS,20260622,1
33500373-FEINERS,20260623,1
33500373-FEINERS,20260625,1
33500373-FEINERS,20260626,1
33500373-FEINERS,20260629,1
33500373-FEINERS,20260630,1
33500373-FEINERS,20260701,1
33500373-FEINERS,20260702,1
33500373-FEINERS,20260703,1
33500373-FEINERS,20260706,1
33500373-FEINERS,20260707,1
33500373-FEINERS,20260708,1
33500373-FEINERS,20260709,1
33500373-FEINERS,20260710,1
33500373-FEINERS,20260713,1
33500373-FEINERS,20260714,1
33500373-FEINERS,20260715,1
33500373-FEINERS,20260716,1
33500373-FEINERS,20260717,1
33500373-FEINERS,20260720,1
33500373-FEINERS,20260721,1
33500373-FEINERS,20260722,1
33500888-FEINERS,20260622,1
33500888-FEINERS,20260623,1
33500888-FEINERS,20260625,1
33500888-FEINERS,20260626,1
33500888-FEINERS,20260629,1
33500888-FEINERS,20260630,1
33500888-FEINERS,20260701,1
33500888-FEINERS,20260702,1
33500888-FEINERS,20260703,1
33500888-FEINERS,20260706,1
33500888-FEINERS,20260707,1
33500888-FEINERS,20260708,1
33500888-FEINERS,20260709,1
33500888-FEINERS,20260710,1
33500888-FEINERS,20260713,1
33500888-FEINERS,20260714,1
33500888-FEINERS,20260715,1
33500888-FEINERS,20260716,1
33500888-FEINERS,20260717,1
33500888-FEINERS,20260720,1
33500888-FEINERS,20260721,1
33500888-FEINERS,20260722,1
34000377-DISSABTES I FESTIUS,20260624,1
34000377-DISSABTES I FESTIUS,20260627,1
34000377-DISSABTES I FESTIUS,20260628,1
34000377-DISSABTES I FESTIUS,20260704,1
34000377-DISSABTES I FESTIUS,20260705,1
34000377-DISSABTES I FESTIUS,20260711,1
34000377-DISSABTES I FESTIUS,20260712,1
34000377-DISSABTES I FESTIUS,20260718,1
34000377-DISSABTES I FESTIUS,20260719,1
34000377-FEI EXC VAC,20260622,1
34000377-FEI EXC VAC,20260623,1
34000377-FEI EXC VAC,20260625,1
34000377-FEI EXC VAC,20260626,1
34000377-FEI EXC VAC,20260629,1
34000377-FEI EXC VAC,20260630,1
34000377-FEI EXC VAC,20260701,1
34000377-FEI EXC VAC,20260702,1
34000377-FEI EXC VAC,20260703,1
34000377-FEI EXC VAC,20260706,1
34000377-FEI EXC VAC,20260707,1
34000377-FEI EXC VAC,20260708,1
