route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
161,3,C-13,SERVEI URBÀ DE VILASSAR MAR,,3,,09950F,FFFFE9
266,3,808,TEIÀ-EL MASNOU-ALELLA-BARCELONA,,3,,DB000E,010619
335,3,806,CABRILS-VILASSAR DE DALT-BARCELONA,,3,,FF0111,FFFFB5
340,3,C-19,SERVEI URBÀ DEL MASNOU,,3,,540074,FFFFAA
385,3,C-18,SERVEI URBÀ DE PREMIA DE MAR,,3,,E70008,02032A
47,3,e11.1,MATARO (CENTRE) - BARCELONA (PER AUTOPISTA),,3,,0BBC90,FFFFFF
48,3,e11.2,MATARO (NORD) - BARCELONA (PER AUTOPISTA),,3,,0BBC90,FFFFFF
49,3,805,803 / 804 VILASSAR D. - PREMIÀ M. - BCN,,3,,EE1B00,FFFFFF
51,3,865,MATARÓ - BELLATERRA (UAB),,3,,FF860A,FFFFE2
53,3,C-10,MATARO - BARCELONA (PER N-II),,3,,9AFF1F,011013
55,3,C-12,CABRILS - VILASSAR DE MAR,,3,,05000F,FFFFE7
56,3,C-15,TEIÀ - EL MASNOU,,3,,05522D,FFFFEF
57,3,C-20,MATARÓ - LLAVANERES -ST. VICENÇ DE MONTALT,,3,,6040FF,FFFFE2
58,3,C-22,LLAVANERES CENTRE - LLAVANERES ESTACIÓ,,3,,090052,FFFDE6
59,3,C-30,MATARÓ - VILASSAR DE DALT,,3,,75000F,FFF6E6
60,3,C-16,SERVEI URBÀ CABRERA DE MAR,,3,,0EF0AC,FFFFE5
603,3,849,TEIÀ-EL MASNOU-ALELLA-BADALONA (CAN RUTI),,3,,E80013,011A1A
623,3,807,ARGENTONA-CABRERA DE MAR-BARCELONA,,3,,FF0216,F8F8FF
627,3,862,PREMIÀ DE DALT-INTERCANVIADOR 804,,3,,0C6000,C8FFFF
64,3,C-14,PREMIÀ DE DALT - PREMIÀ DE MAR,,3,,0C6000,CDFFFF
67,3,C-21,S.VICENÇ DE MONTALT - CALDES D´ESTRAC,,3,,1B00BC,FFFFEB
68,3,N-80,BARCELONA - MATARÓ (NOCTURNA),,3,,1E003C,FFFFE6
70,3,N-81,BARCELONA - VILASSAR DE DALT (NOCTURNA),,3,,490075,FFF0FF
715,3,C-17,TEIÀ - EL MASNOU - TEIÀ,,3,,0A60AA,FBFFFF
