route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.104.1,1.104.H2455,1.104.11030111,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030112,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030113,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030114,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030115,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030116,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030117,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030118,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030119,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030120,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030121,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030122,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030123,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030124,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030125,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030126,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030127,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030128,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030129,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030130,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030131,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030132,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030133,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030134,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030135,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030136,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030137,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030138,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030139,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030140,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030141,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030142,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030144,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030145,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030147,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030148,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030149,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030151,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030152,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030154,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030155,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030157,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030158,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030159,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030161,"La Sagrera",1,1.104.10400.2,1
1.104.1,1.104.H2455,1.104.11030162,"Gorg",0,1.104.10400.1,1
1.104.1,1.104.H2455,1.104.11030164,"Gorg",0,1.104.10400.1,1
1.94.1,1.94.H2456,1.94.11030165,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030167,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030168,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030171,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030172,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030173,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030176,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030177,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030178,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030180,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030182,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030183,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030185,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030186,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030189,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030190,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030191,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030193,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030195,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030196,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030198,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030199,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030202,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030203,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030204,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030206,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030208,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030209,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030211,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030212,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030214,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030215,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030216,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030217,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030218,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030219,"La Sagrera",1,1.94.9400.2,1
1.94.1,1.94.H2456,1.94.11030220,"Can Zam",0,1.94.9400.1,1
1.94.1,1.94.H2456,1.94.11030221,"La Sagrera",1,1.94.9400.2,1
