service_id,date,exception_type
1910,20260716,1
1908,20260717,1
1909,20260718,1
1907,20260719,1
1910,20260720,1
1910,20260721,1
1910,20260722,1
1910,20260723,1
1908,20260724,1
1909,20260725,1
1907,20260726,1
1910,20260727,1
1910,20260728,1
1910,20260729,1
1910,20260730,1
1908,20260731,1
1909,20260801,1
1907,20260802,1
1910,20260803,1
1910,20260804,1
1910,20260805,1
1910,20260806,1
1908,20260807,1
1909,20260808,1
1907,20260809,1
1910,20260810,1
1910,20260811,1
1910,20260812,1
1910,20260813,1
1908,20260814,1
1909,20260815,1
