trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint
1907_0002,04:54:00,04:54:00,2030,1,0.0,1
1907_0002,04:55:30,04:55:40,2129,2,673.126,1
1907_0002,04:57:00,04:57:10,2110,3,1158.672,1
1907_0002,04:58:30,04:58:40,2109,4,1616.603,1
1907_0002,05:00:30,05:00:30,2108,5,2003.773,1
1907_0003,05:05:00,05:05:00,2108,1,0.0,1
1907_0003,05:08:00,05:08:10,2009,2,392.911,1
1907_0003,05:09:30,05:09:40,2010,3,850.13,1
1907_0003,05:11:00,05:11:10,2029,4,1336.069,1
1907_0003,05:12:00,05:12:00,2030,5,2008.983,1
1907_0004,05:20:00,05:20:00,2030,1,0.0,1
1907_0004,05:21:30,05:21:40,2129,2,673.126,1
1907_0004,05:23:00,05:23:10,2110,3,1158.672,1
1907_0004,05:24:30,05:24:40,2109,4,1616.603,1
1907_0004,05:26:30,05:26:30,2108,5,2003.773,1
1907_0005,05:32:00,05:32:00,2108,1,0.0,1
1907_0005,05:35:00,05:35:10,2009,2,392.911,1
1907_0005,05:36:30,05:36:40,2010,3,850.13,1
1907_0005,05:38:00,05:38:10,2029,4,1336.069,1
1907_0005,05:39:00,05:39:00,2030,5,2008.983,1
1907_0006,05:50:00,05:50:00,2030,1,0.0,1
1907_0006,05:51:30,05:51:40,2129,2,673.126,1
1907_0006,05:53:00,05:53:10,2110,3,1158.672,1
1907_0006,05:54:30,05:54:40,2109,4,1616.603,1
1907_0006,05:56:30,05:56:30,2108,5,2003.773,1
1907_0007,06:02:00,06:02:00,2108,1,0.0,1
1907_0007,06:05:00,06:05:10,2009,2,392.911,1
1907_0007,06:06:30,06:06:40,2010,3,850.13,1
1907_0007,06:08:00,06:08:10,2029,4,1336.069,1
1907_0007,06:09:00,06:09:00,2030,5,2008.983,1
1907_0008,06:20:00,06:20:00,2030,1,0.0,1
1907_0008,06:21:30,06:21:40,2129,2,673.126,1
1907_0008,06:23:00,06:23:10,2110,3,1158.672,1
1907_0008,06:24:30,06:24:40,2109,4,1616.603,1
1907_0008,06:26:30,06:26:30,2108,5,2003.773,1
1907_0009,06:32:00,06:32:00,2108,1,0.0,1
1907_0009,06:35:00,06:35:10,2009,2,392.911,1
1907_0009,06:36:30,06:36:40,2010,3,850.13,1
1907_0009,06:38:00,06:38:10,2029,4,1336.069,1
1907_0009,06:39:00,06:39:00,2030,5,2008.983,1
1907_0010,06:48:00,06:48:00,2030,1,0.0,1
1907_0010,06:49:30,06:49:40,2129,2,673.126,1
1907_0010,06:51:00,06:51:10,2110,3,1158.672,1
1907_0010,06:52:30,06:52:40,2109,4,1616.603,1
1907_0010,06:54:30,06:54:30,2108,5,2003.773,1
1907_0011,07:10:00,07:10:00,2108,1,0.0,1
1907_0011,07:13:00,07:13:10,2009,2,392.911,1
1907_0011,07:14:30,07:14:40,2010,3,850.13,1
1907_0011,07:16:00,07:16:10,2029,4,1336.069,1
1907_0011,07:17:00,07:17:00,2030,5,2008.983,1
1907_0012,07:28:00,07:28:00,2030,1,0.0,1
1907_0012,07:29:30,07:29:40,2129,2,673.126,1
1907_0012,07:31:00,07:31:10,2110,3,1158.672,1
1907_0012,07:32:30,07:32:40,2109,4,1616.603,1
1907_0012,07:34:30,07:34:30,2108,5,2003.773,1
1907_0013,07:48:00,07:48:00,2108,1,0.0,1
1907_0013,07:51:00,07:51:10,2009,2,392.911,1
1907_0013,07:52:30,07:52:40,2010,3,850.13,1
1907_0013,07:54:00,07:54:10,2029,4,1336.069,1
1907_0013,07:55:00,07:55:00,2030,5,2008.983,1
1907_0014,08:08:00,08:08:00,2030,1,0.0,1
1907_0014,08:09:30,08:09:40,2129,2,673.126,1
1907_0014,08:11:00,08:11:10,2110,3,1158.672,1
1907_0014,08:12:30,08:12:40,2109,4,1616.603,1
1907_0014,08:14:30,08:14:30,2108,5,2003.773,1
1907_0015,08:28:00,08:28:00,2108,1,0.0,1
1907_0015,08:31:00,08:31:10,2009,2,392.911,1
1907_0015,08:32:30,08:32:40,2010,3,850.13,1
1907_0015,08:34:00,08:34:10,2029,4,1336.069,1
