route_id,service_id,trip_id,block_id,shape_id
2,2555,2555_0194,LT01,1
2,2555,2555_0195,LT01,2
2,2555,2555_0196,LT01,1
2,2555,2555_0001,LT01,3
3,2555,2555_0362,LT01,4
3,2555,2555_0363,LT01,5
1,2555,2555_0025,LT01,6
1,2555,2555_0026,LT01,7
1,2555,2555_0129,LT01,8
1,2555,2555_0130,LT01,9
1,2555,2555_0131,LT01,6
1,2555,2555_0132,LT01,7
1,2555,2555_0133,LT01,8
1,2555,2555_0134,LT01,9
1,2555,2555_0135,LT01,6
1,2555,2555_0136,LT01,7
1,2555,2555_0137,LT01,8
1,2555,2555_0138,LT01,7
3,2555,2555_0511,LT01,4
3,2555,2555_0512,LT01,5
1,2555,2555_0141,LT01,6
1,2555,2555_0142,LT01,7
2,2555,2555_0349,LT01,10
2,2555,2555_0350,LT01,3
3,2555,2555_0416,LT01,4
3,2555,2555_0417,LT01,5
2,2555,2555_0243,LT01,1
3,2555,2555_0358,LT02,11
3,2555,2555_0359,LT02,5
2,2555,2555_0303,LT02,1
2,2555,2555_0304,LT02,2
3,2555,2555_0507,LT02,11
3,2555,2555_0508,LT02,12
1,2555,2555_0035,LT02,8
1,2555,2555_0037,LT02,9
1,2555,2555_0038,LT02,6
1,2555,2555_0039,LT02,7
1,2555,2555_0040,LT02,8
1,2555,2555_0041,LT02,9
1,2555,2555_0042,LT02,6
1,2555,2555_0043,LT02,7
1,2555,2555_0044,LT02,8
1,2555,2555_0045,LT02,9
1,2555,2555_0046,LT02,6
1,2555,2555_0047,LT02,9
3,2555,2555_0376,LT02,11
3,2555,2555_0377,LT02,12
1,2555,2555_0050,LT02,8
1,2555,2555_0051,LT02,9
2,2555,2555_0297,LT02,1
3,2555,2555_0391,LT03,5
3,2555,2555_0392,LT03,11
3,2555,2555_0393,LT03,12
3,2555,2555_0394,LT03,4
3,2555,2555_0395,LT03,5
1,2555,2555_0062,LT03,6
1,2555,2555_0063,LT03,7
2,2555,2555_0251,LT03,10
1,2555,2555_0002,LT04,9
2,2555,2555_0245,LT04,1
2,2555,2555_0246,LT04,2
3,2555,2555_0505,LT04,11
3,2555,2555_0506,LT04,12
1,2555,2555_0032,LT04,8
1,2555,2555_0033,LT04,9
2,2555,2555_0307,LT04,1
2,2555,2555_0308,LT04,2
3,2555,2555_0461,LT04,11
3,2555,2555_0462,LT04,5
2,2555,2555_0203,LT04,1
2,2555,2555_0204,LT04,3
3,2555,2555_0435,LT04,4
3,2555,2555_0436,LT04,12
2,2555,2555_0291,LT04,10
2,2555,2555_0292,LT04,3
3,2555,2555_0495,LT04,4
3,2555,2555_0496,LT04,12
1,2555,2555_0179,LT04,8
1,2555,2555_0180,LT04,9
2,2555,2555_0239,LT04,1
2,2555,2555_0240,LT04,2
3,2555,2555_0382,LT04,11
3,2555,2555_0383,LT04,5
2,2555,2555_0275,LT04,1
2,2555,2555_0276,LT04,2
2,2555,2555_0277,LT04,1
2,2555,2555_0278,LT04,3
1,2555,2555_0191,LT04,8
2,2555,2555_0220,LT05,2
2,2555,2555_0221,LT05,1
2,2555,2555_0222,LT05,3
1,2555,2555_0088,LT05,8
1,2555,2555_0089,LT05,9
2,2555,2555_0257,LT05,1
2,2555,2555_0258,LT05,2
1,2555,2555_0151,LT05,6
1,2555,2555_0152,LT05,7
1,2555,2555_0153,LT05,8
1,2555,2555_0154,LT05,9
1,2555,2555_0155,LT05,6
1,2555,2555_0156,LT05,7
1,2555,2555_0157,LT05,8
1,2555,2555_0158,LT05,9
1,2555,2555_0159,LT05,6
1,2555,2555_0160,LT05,9
1,2555,2555_0161,LT05,6
1,2555,2555_0162,LT05,7
2,2555,2555_0237,LT05,10
2,2555,2555_0238,LT05,3
3,2555,2555_0515,LT05,4
3,2555,2555_0516,LT05,5
2,2555,2555_0273,LT05,1
2,2555,2555_0274,LT05,3
3,2555,2555_0384,LT05,4
3,2555,2555_0385,LT05,5
3,2555,2555_0386,LT05,11
3,2555,2555_0387,LT05,12
3,2555,2555_0388,LT05,4
3,2555,2555_0003,LT06,5
3,2555,2555_0423,LT06,11
3,2555,2555_0424,LT06,12
3,2555,2555_0425,LT06,4
3,2555,2555_0426,LT06,5
1,2555,2555_0034,LT06,6
1,2555,2555_0036,LT06,7
2,2555,2555_0259,LT06,10
2,2555,2555_0260,LT06,2
3,2555,2555_0487,LT06,11
3,2555,2555_0488,LT06,5
2,2555,2555_0335,LT06,1
2,2555,2555_0336,LT06,3
3,2555,2555_0372,LT06,4
3,2555,2555_0373,LT06,12
2,2555,2555_0315,LT06,10
2,2555,2555_0316,LT06,3
1,2555,2555_0048,LT06,8
1,2555,2555_0049,LT06,9
2,2555,2555_0211,LT06,1
2,2555,2555_0212,LT06,2
1,2555,2555_0013,LT06,6
1,2555,2555_0016,LT07,7
3,2555,2555_0360,LT07,4
3,2555,2555_0361,LT07,5
1,2555,2555_0023,LT07,6
1,2555,2555_0024,LT07,7
2,2555,2555_0199,LT07,10
2,2555,2555_0200,LT07,3
3,2555,2555_0400,LT07,4
3,2555,2555_0401,LT07,12
2,2555,2555_0287,LT07,10
2,2555,2555_0288,LT07,2
3,2555,2555_0465,LT07,11
3,2555,2555_0466,LT07,5
2,2555,2555_0233,LT07,1
2,2555,2555_0234,LT07,3
3,2555,2555_0439,LT07,4
3,2555,2555_0440,LT07,5
1,2555,2555_0163,LT07,6
1,2555,2555_0164,LT07,7
2,2555,2555_0271,LT07,10
2,2555,2555_0272,LT07,3
3,2555,2555_0501,LT07,4
3,2555,2555_0502,LT07,12
2,2555,2555_0323,LT07,10
1,2555,2555_0020,LT08,9
1,2555,2555_0021,LT08,6
1,2555,2555_0022,LT08,7
2,2555,2555_0305,LT08,10
2,2555,2555_0306,LT08,3
3,2555,2555_0398,LT08,4
3,2555,2555_0399,LT08,5
2,2555,2555_0201,LT08,1
2,2555,2555_0202,LT08,3
3,2555,2555_0463,LT08,4
3,2555,2555_0464,LT08,12
2,2555,2555_0289,LT08,10
2,2555,2555_0290,LT08,2
3,2555,2555_0437,LT08,11
3,2555,2555_0438,LT08,5
2,2555,2555_0235,LT08,1
2,2555,2555_0236,LT08,2
3,2555,2555_0497,LT08,11
3,2555,2555_0498,LT08,12
1,2555,2555_0181,LT08,8
1,2555,2555_0182,LT08,9
1,2555,2555_0017,LT08,6
1,2555,2555_0030,LT09,7
2,2555,2555_0247,LT09,10
2,2555,2555_0248,LT09,3
3,2555,2555_0396,LT09,4
3,2555,2555_0397,LT09,5
1,2555,2555_0064,LT09,6
1,2555,2555_0065,LT09,7
1,2555,2555_0066,LT09,8
1,2555,2555_0067,LT09,9
1,2555,2555_0068,LT09,6
1,2555,2555_0069,LT09,7
1,2555,2555_0070,LT09,8
1,2555,2555_0071,LT09,9
1,2555,2555_0072,LT09,6
1,2555,2555_0073,LT09,7
1,2555,2555_0074,LT09,8
1,2555,2555_0075,LT09,9
1,2555,2555_0076,LT09,6
1,2555,2555_0077,LT09,7
2,2555,2555_0319,LT09,10
2,2555,2555_0320,LT09,3
1,2555,2555_0108,LT09,8
1,2555,2555_0109,LT09,9
1,2555,2555_0110,LT09,6
1,2555,2555_0111,LT09,9
1,2555,2555_0112,LT09,6
3,2555,2555_0454,LT10,5
3,2555,2555_0455,LT10,11
3,2555,2555_0456,LT10,12
1,2555,2555_0090,LT10,8
1,2555,2555_0091,LT10,9
1,2555,2555_0092,LT10,6
1,2555,2555_0093,LT10,9
1,2555,2555_0094,LT10,6
1,2555,2555_0095,LT10,7
1,2555,2555_0096,LT10,8
1,2555,2555_0097,LT10,9
1,2555,2555_0098,LT10,6
1,2555,2555_0099,LT10,7
1,2555,2555_0100,LT10,8
1,2555,2555_0101,LT10,9
1,2555,2555_0102,LT10,6
1,2555,2555_0103,LT10,9
2,2555,2555_0269,LT10,1
2,2555,2555_0270,LT10,2
3,2555,2555_0499,LT10,11
3,2555,2555_0500,LT10,12
1,2555,2555_0183,LT10,8
1,2555,2555_0184,LT10,7
1,2555,2555_0185,LT10,8
1,2555,2555_0186,LT10,9
1,2555,2555_0187,LT10,6
2,2555,2555_0254,LT11,2
1,2555,2555_0060,LT11,6
1,2555,2555_0061,LT11,7
2,2555,2555_0329,LT11,10
2,2555,2555_0330,LT11,3
3,2555,2555_0429,LT11,4
3,2555,2555_0430,LT11,5
2,2555,2555_0333,LT11,1
2,2555,2555_0334,LT11,3
3,2555,2555_0489,LT11,4
3,2555,2555_0490,LT11,12
2,2555,2555_0313,LT11,10
2,2555,2555_0314,LT11,2
3,2555,2555_0374,LT11,11
3,2555,2555_0375,LT11,12
2,2555,2555_0209,LT11,10
2,2555,2555_0210,LT11,3
3,2555,2555_0412,LT11,4
3,2555,2555_0413,LT11,5
2,2555,2555_0298,LT11,1
2,2555,2555_0300,LT11,2
3,2555,2555_0477,LT11,11
3,2555,2555_0478,LT11,5
2,2555,2555_0353,LT11,1
2,2555,2555_0354,LT11,2
2,2555,2555_0355,LT11,1
1,2555,2555_0059,LT12,7
1,2555,2555_0031,LT12,8
1,2555,2555_0004,LT12,9
2,2555,2555_0249,LT12,1
2,2555,2555_0250,LT12,2
3,2555,2555_0459,LT12,11
3,2555,2555_0460,LT12,12
2,2555,2555_0309,LT12,10
2,2555,2555_0310,LT12,2
3,2555,2555_0433,LT12,11
3,2555,2555_0434,LT12,5
2,2555,2555_0205,LT12,1
2,2555,2555_0206,LT12,3
3,2555,2555_0493,LT12,4
3,2555,2555_0494,LT12,5
2,2555,2555_0293,LT12,1
2,2555,2555_0294,LT12,2
3,2555,2555_0378,LT12,11
3,2555,2555_0379,LT12,12
1,2555,2555_0052,LT12,8
1,2555,2555_0053,LT12,9
1,2555,2555_0054,LT12,6
1,2555,2555_0055,LT12,9
1,2555,2555_0056,LT12,6
1,2555,2555_0087,LT13,9
2,2555,2555_0327,LT13,1
2,2555,2555_0328,LT13,2
3,2555,2555_0457,LT13,11
3,2555,2555_0458,LT13,12
2,2555,2555_0331,LT13,10
2,2555,2555_0332,LT13,3
3,2555,2555_0431,LT13,4
3,2555,2555_0432,LT13,12
2,2555,2555_0311,LT13,10
2,2555,2555_0312,LT13,2
3,2555,2555_0491,LT13,11
3,2555,2555_0492,LT13,5
2,2555,2555_0207,LT13,1
2,2555,2555_0208,LT13,2
1,2555,2555_0139,LT13,6
1,2555,2555_0140,LT13,7
2,2555,2555_0295,LT13,10
2,2555,2555_0296,LT13,3
3,2555,2555_0414,LT13,4
3,2555,2555_0415,LT13,5
2,2555,2555_0351,LT13,1
2,2555,2555_0352,LT13,2
3,2555,2555_0418,LT13,11
3,2555,2555_0419,LT13,5
3,2555,2555_0420,LT13,11
3,2555,2555_0421,LT13,5
1,2555,2555_0169,LT13,6
1,2555,2555_0115,LT14,7
2,2555,2555_0255,LT14,10
2,2555,2555_0256,LT14,3
3,2555,2555_0427,LT14,4
3,2555,2555_0428,LT14,5
1,2555,2555_0125,LT14,6
2,2555,2555_0280,LT15,2
1,2555,2555_0116,LT15,6
1,2555,2555_0117,LT15,7
2,2555,2555_0225,LT15,10
2,2555,2555_0226,LT15,3
2,2555,2555_0227,LT15,10
2,2555,2555_0228,LT15,3
3,2555,2555_0368,LT15,4
3,2555,2555_0369,LT15,12
