,origen,dest,tram,linia,type,geometry,length,speed,time,directed
0,B-D20-1284,B-D20-1282,Hospital del Mar - Platja de la Barceloneta,D20,Bus,"LINESTRING (2.194642126631918 41.383157429507406, 2.1928796221773856 41.380294510650856)",350.35590525020586,3.333333333333333,1.7517795262510296,True
1,B-D20-1282,B-D20-1604,Platja de la Barceloneta - Pg Marítim - Pepe Rubianes,D20,Bus,"LINESTRING (2.1928796221773856 41.380294510650856, 2.192167955818947 41.37913843941286)",141.47578861880316,3.333333333333333,0.7073789430940158,True
2,B-D20-1604,B-D20-3348,Pg Marítim - Pepe Rubianes - Pepe Rubianes,D20,Bus,"LINESTRING (2.192167955818947 41.37913843941286, 2.1920817200000005 41.37899835, 2.1920291899999995 41.378940320000005, 2.1919923399999997 41.3789185, 2.1919210000000007 41.37889604999999, 2.189701539894022 41.37840497211164)",228.76683219652642,3.333333333333333,1.1438341609826321,True
3,B-D20-3348,B-D20-955,Pepe Rubianes - Pg Joan de Borbó,D20,Bus,"LINESTRING (2.189701539894022 41.37840497211164, 2.18825652 41.37808522, 2.18819554 41.37808423999999, 2.18816765 41.37809418999999, 2.18812758 41.37813604, 2.1873939796176556 41.379986221471476)",353.73183712281747,3.333333333333333,1.7686591856140874,True
4,B-D20-955,B-D20-1164,Pg Joan de Borbó - Pla de Palau - Pl Pau Vila,D20,Bus,"LINESTRING (2.1873939796176556 41.379986221471476, 2.187004969999999 41.380967279999986, 2.18675737 41.38161698, 2.1866456400000005 41.38182261, 2.1865888300000003 41.38188899000001, 2.18645685 41.38201356, 2.1864097400000007 41.38204795, 2.18627914 41.382116200000006, 2.186120830000001 41.38217138999999, 2.1860366199999994 41.38218889, 2.1857099799999995 41.3822244, 2.185474540000001 41.38227832000001, 2.18538503 41.3823131, 2.1852902800000007 41.38238895000001, 2.1852534700000015 41.38240798, 2.184990364696879 41.38253245400262)",378.38890260962705,3.333333333333333,1.8919445130481354,True
5,B-D20-1164,B-D20-255,Pla de Palau - Pl Pau Vila - Pg Colom - Via Laietana,D20,Bus,"LINESTRING (2.184990364696879 41.38253245400262, 2.183934010000001 41.38303219999999, 2.1838340600000006 41.38306407000001, 2.1837256600000003 41.3830681, 2.183672430000001 41.38305939000001, 2.18357602 41.38302185, 2.1835358000000005 41.38299417, 2.1833239799999995 41.38274524999999, 2.1832627400000004 41.38264828, 2.1832384600000005 41.38256439999999, 2.18319081 41.38248329999999, 2.1823295300000005 41.38145543000001, 2.1817371130697834 41.38073536383092)",433.76182445811514,3.333333333333333,2.168809122290576,True
6,B-D20-255,B-D20-256,Pg Colom - Via Laietana - Moll de la Fusta,D20,Bus,"LINESTRING (2.1817371130697834 41.38073536383092, 2.18149766 41.38044430999999, 2.1804007131507297 41.379088037746556)",214.33191017257548,3.333333333333333,1.0716595508628777,True
7,B-D20-256,B-D20-257,Moll de la Fusta - Portal de la Pau,D20,Bus,"LINESTRING (2.1804007131507297 41.379088037746556, 2.178461994202837 41.37669083068)",311.63705804010584,3.333333333333333,1.5581852902005293,True
8,B-D20-257,B-D20-2617,Portal de la Pau - Les Drassanes,D20,Bus,"LINESTRING (2.178461994202837 41.37669083068, 2.1781175200000003 41.376264869999986, 2.1780901599999996 41.37623796999999, 2.1780162400000003 41.37620002, 2.17797301 41.37619067000001, 2.17788724 41.37619261999998, 2.1778111000000004 41.37618235, 2.1776667300000003 41.37614108999999, 2.17754015 41.37607447, 2.1774390700000006 41.37598653999999, 2.17738466 41.37591136, 2.1773353600000003 41.37579241999999, 2.1773235100000004 41.37566814999999, 2.17734031 41.37551797, 2.17731054 41.37542633, 2.17682536 41.37483612, 2.1767765273458624 41.374773033580595)",272.32223809641283,3.333333333333333,1.3616111904820645,True
9,B-D20-2617,B-D20-1326,Les Drassanes - Paral·lel - Drassanes,D20,Bus,"LINESTRING (2.1767765273458624 41.374773033580595, 2.176611790000001 41.374560210000006, 2.1765399700000003 41.37450695, 2.1764471300000015 41.374477389999996, 2.17639686 41.37447294999998, 2.1761815500000004 41.37449029, 2.1760840300000006 41.37448843, 2.1758363000000003 41.37445505, 2.17573097 41.37446162999999, 2.1756355 41.37449577, 2.1755093700000008 41.3745904, 2.175444130000001 41.37462543, 2.1752994200000013 41.37467674, 2.1752448400000004 41.37468848999999, 2.174662460000001 41.37473513999999, 2.1746338849428226 41.37473708799339)",204.5197990627019,3.333333333333333,1.0225989953135095,True
