origen,dest,tram,last_line,type,time,directed,cost,geometry
SB-21,Zona Universitària,Palau Reial - Zona Universitària,IU Stop,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
SB-250,Zona Universitària,Diagonal - Manuel Ballbé - Zona Universitària,IU Stop,Egress,5.15,True,11.5875,"LINESTRING (2.1100072 41.3842118, 2.1100741 41.3840704, 2.1107293 41.3842355, 2.110736 41.3842209, 2.1107803 41.384125, 2.1109022 41.3841559, 2.1110729 41.3841993, 2.1115372 41.384317, 2.1116123 41.3843362, 2.1117845 41.3843799, 2.1118647 41.3843577, 2.1119397 41.3843311, 2.1120252 41.3842821, 2.1120583 41.3842411, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
SB-310,Zona Universitària,Diagonal - Av Doctor Marañón - Zona Universitària,IU Stop,Egress,3.55,True,7.9875,"LINESTRING (2.1114783 41.3841797, 2.111672 41.3842287, 2.1118615 41.3842766, 2.111909 41.3842739, 2.1119478 41.3842611, 2.1119651 41.384223, 2.1119713 41.3842094, 2.1119819 41.3841861, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
SB-548,Zona Universitària,Zona Universitària - Facultat d'Economia i Empresa - Zona Universitària,IU Stop,Egress,5.183333333333334,True,11.662500000000001,"LINESTRING (2.1108172 41.3846429, 2.1118012 41.3848908, 2.1118478 41.3849037, 2.111952 41.3848806, 2.1120383 41.3848542, 2.112159 41.3848489, 2.1122489 41.3848297, 2.1123579 41.3847836, 2.1124009 41.3847636, 2.1124331 41.3847465, 2.112467 41.3847185, 2.1124901 41.3846895, 2.1125116 41.3846496, 2.1125407 41.3845719, 2.112575 41.3844674, 2.1125899 41.3843973, 2.1125887 41.3843425, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
SB-2541,Zona Universitària,Diagonal - Metro Zona Universitària - Zona Universitària,IU Stop,Egress,4.083333333333333,True,9.1875,"LINESTRING (2.1131866 41.3849962, 2.1132237 41.3848838, 2.1132304 41.384862, 2.1129208 41.3847828, 2.1127142 41.3847313, 2.1127156 41.3847226, 2.1127313 41.384621, 2.1127406 41.3845382, 2.1127465 41.3845283, 2.112787 41.3844347, 2.1128119 41.3843854, 2.1128361 41.3843191, 2.1127729 41.384303, 2.1126747 41.3840648, 2.1126687 41.3840577, 2.1125913 41.3839644, 2.1129576 41.3831384, 2.1130015 41.3830281, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
SB-2542,Zona Universitària,Zona Universitària - Escola T S d'Enginyeria - Zona Universitària,IU Stop,Egress,4.05,True,9.112499999999999,"LINESTRING (2.1160131 41.3851257, 2.1143361 41.3846999, 2.1143256 41.3846973, 2.1143021 41.3846913, 2.1142545 41.3846792, 2.1142338 41.3846739, 2.1141935 41.3846637, 2.1144336 41.3841169, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
SB-3174,Zona Universitària,Diagonal - Complex Esportiu Universitari - Zona Universitària,IU Stop,Egress,3.3833333333333333,True,7.6125,"LINESTRING (2.1108834 41.3838697, 2.1116987 41.3840764, 2.111999 41.3841485, 2.1120425 41.3840531, 2.112054 41.3840279, 2.1121037 41.3840397, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-7-21,Zona Universitària,Palau Reial - Zona Universitària,7,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-33-21,Zona Universitària,Palau Reial - Zona Universitària,33,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-67-21,Zona Universitària,Palau Reial - Zona Universitària,67,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
