origen,dest,tram,mode,lines,type,time,directed,geometry
SB-2,B-59-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,IU Stop - 59,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
B-H16-2,B-59-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,H16 - 59,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
B-V27-2,B-59-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,V27 - 59,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
SB-2,B-H16-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,IU Stop - H16,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
B-59-2,B-H16-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,59 - H16,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
B-V27-2,B-H16-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,V27 - H16,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
SB-2,B-V27-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,IU Stop - V27,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
B-59-2,B-V27-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,59 - V27,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
B-H16-2,B-V27-2,Av Icària - Àlaba - Av Icària - Àlaba,Bus - Bus,H16 - V27,Exchange - Self,01:00,True,POINT (2.198984998801282 41.393104003754864)
SB-3,B-63-3,València - Muntaner - València - Muntaner,Bus - Bus,IU Stop - 63,Exchange - Self,01:00,True,POINT (2.1578909990979396 41.388546000808674)
B-H10-3,B-63-3,València - Muntaner - València - Muntaner,Bus - Bus,H10 - 63,Exchange - Self,01:00,True,POINT (2.1578909990979396 41.388546000808674)
SB-3,B-H10-3,València - Muntaner - València - Muntaner,Bus - Bus,IU Stop - H10,Exchange - Self,01:00,True,POINT (2.1578909990979396 41.388546000808674)
B-63-3,B-H10-3,València - Muntaner - València - Muntaner,Bus - Bus,63 - H10,Exchange - Self,01:00,True,POINT (2.1578909990979396 41.388546000808674)
SB-4,B-H10-4,Mallorca - Balmes - Mallorca - Balmes,Bus - Bus,IU Stop - H10,Exchange - Self,01:00,True,POINT (2.1587319985704574 41.3910210013052)
SB-7,B-H12-7,Pl Universitat - Pl Universitat,Bus - Bus,IU Stop - H12,Exchange - Self,01:00,True,POINT (2.163310002198641 41.385906997198724)
B-52-7,B-H12-7,Pl Universitat - Pl Universitat,Bus - Bus,52 - H12,Exchange - Self,01:00,True,POINT (2.163310002198641 41.385906997198724)
SB-7,B-52-7,Pl Universitat - Pl Universitat,Bus - Bus,IU Stop - 52,Exchange - Self,01:00,True,POINT (2.163310002198641 41.385906997198724)
B-H12-7,B-52-7,Pl Universitat - Pl Universitat,Bus - Bus,H12 - 52,Exchange - Self,01:00,True,POINT (2.163310002198641 41.385906997198724)
SB-8,B-13-8,Pl de Carles Buïgas - Pl de Carles Buïgas,Bus - Bus,IU Stop - 13,Exchange - Self,01:00,True,POINT (2.150117999333274 41.37104500250685)
B-150-8,B-13-8,Pl de Carles Buïgas - Pl de Carles Buïgas,Bus - Bus,150 - 13,Exchange - Self,01:00,True,POINT (2.150117999333274 41.37104500250685)
SB-8,B-150-8,Pl de Carles Buïgas - Pl de Carles Buïgas,Bus - Bus,IU Stop - 150,Exchange - Self,01:00,True,POINT (2.150117999333274 41.37104500250685)
B-13-8,B-150-8,Pl de Carles Buïgas - Pl de Carles Buïgas,Bus - Bus,13 - 150,Exchange - Self,01:00,True,POINT (2.150117999333274 41.37104500250685)
SB-12,B-V33-12,Llinars - Santander - Llinars - Santander,Bus - Bus,IU Stop - V33,Exchange - Self,01:00,True,POINT (2.207305000530648 41.43475499562166)
SB-13,B-60-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,IU Stop - 60,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-H8-13,B-60-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,H8 - 60,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-V33-13,B-60-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,V33 - 60,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-133-13,B-60-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,133 - 60,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
SB-13,B-H8-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,IU Stop - H8,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-60-13,B-H8-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,60 - H8,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-V33-13,B-H8-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,V33 - H8,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-133-13,B-H8-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,133 - H8,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
SB-13,B-V33-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,IU Stop - V33,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-60-13,B-V33-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,60 - V33,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-H8-13,B-V33-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,H8 - V33,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-133-13,B-V33-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,133 - V33,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
SB-13,B-133-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,IU Stop - 133,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-60-13,B-133-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,60 - 133,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-H8-13,B-133-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,H8 - 133,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
B-V33-13,B-133-13,Sas - Claramunt - Sas - Claramunt,Bus - Bus,V33 - 133,Exchange - Self,01:00,True,POINT (2.204183000631267 41.43759099894411)
SB-15,B-60-15,Via Favència - Almagro - Via Favència - Almagro,Bus - Bus,IU Stop - 60,Exchange - Self,01:00,True,POINT (2.172054997977336 41.443910002795576)
SB-16,B-60-16,Via Favència - Castor - Via Favència - Castor,Bus - Bus,IU Stop - 60,Exchange - Self,01:00,True,POINT (2.1701980040345346 41.442689996995604)
SB-17,B-27-17,Les Torres - Mina de la Ciutat - Les Torres - Mina de la Ciutat,Bus - Bus,IU Stop - 27,Exchange - Self,01:00,True,POINT (2.1716099982294024 41.44665200010537)
SB-18,B-47-18,Antonio Machado - E M de Natació - Antonio Machado - E M de Natació,Bus - Bus,IU Stop - 47,Exchange - Self,01:00,True,POINT (2.1705049974447705 41.44429500110895)
SB-20,B-27-20,Antonio Machado - Artesania - Antonio Machado - Artesania,Bus - Bus,IU Stop - 27,Exchange - Self,01:00,True,POINT (2.1708209987695013 41.44438500256856)
B-D40-20,B-27-20,Antonio Machado - Artesania - Antonio Machado - Artesania,Bus - Bus,D40 - 27,Exchange - Self,01:00,True,POINT (2.1708209987695013 41.44438500256856)
SB-20,B-D40-20,Antonio Machado - Artesania - Antonio Machado - Artesania,Bus - Bus,IU Stop - D40,Exchange - Self,01:00,True,POINT (2.1708209987695013 41.44438500256856)
B-27-20,B-D40-20,Antonio Machado - Artesania - Antonio Machado - Artesania,Bus - Bus,27 - D40,Exchange - Self,01:00,True,POINT (2.1708209987695013 41.44438500256856)
SB-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,IU Stop - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-33-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,33 - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-67-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,67 - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-113-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,113 - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-H6-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,H6 - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-M14-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,M14 - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-175-21,B-7-21,Palau Reial - Palau Reial,Bus - Bus,175 - 7,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
SB-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,IU Stop - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-7-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,7 - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-67-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,67 - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-113-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,113 - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-H6-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,H6 - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-M14-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,M14 - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
B-175-21,B-33-21,Palau Reial - Palau Reial,Bus - Bus,175 - 33,Exchange - Self,01:00,True,POINT (2.116137003046015 41.38559299631731)
