origen,dest,tram,linia,type,length,speed,time,directed,geometry
F-L6-PC,F-L6-PR,Catalunya - Diagonal,L6,FGC,1217.8896697156242,6.944444444444445,02:55,False,"LINESTRING (2.168718900086694 41.38561742310187, 2.1678100000000002 41.3857, 2.16759 41.38575, 2.16729 41.38589100000001, 2.1665 41.38658099999999, 2.1656300000000006 41.387131, 2.1642 41.38816100000001, 2.158052267605229 41.39284244094162)"
F-L6-PR,F-L6-GR,Diagonal - Gràcia,L6,FGC,840.6446674227542,6.944444444444445,02:01,False,"LINESTRING (2.158052267605229 41.39284244094162, 2.1561499999999993 41.394290999999996, 2.15584 41.39471100000001, 2.15571 41.395019999999995, 2.15564 41.39537, 2.1553899999999997 41.39587000000001, 2.15473 41.396930999999995, 2.15347 41.398300000000006, 2.1526649331316006 41.399100851858606)"
F-L6-GR,F-L6-SG,Gràcia - Sant Gervasi,L6,FGC,556.7679468520003,6.944444444444445,01:20,False,"LINESTRING (2.1526649331316006 41.399100851858606, 2.15156 41.4002, 2.1512000000000007 41.400471, 2.1507799999999997 41.4007, 2.1501 41.400969999999994, 2.14955 41.40111199999998, 2.14898 41.401192, 2.14772 41.401211, 2.147436 41.401188000000005, 2.147208 41.401154000000005, 2.1471184479852554 41.40113368741282)"
F-L6-SG,F-L6-MN,Sant Gervasi - Muntaner,L6,FGC,496.06069569084906,6.944444444444445,01:11,False,"LINESTRING (2.1471184479852554 41.40113368741282, 2.1467010000000006 41.401039, 2.146454 41.400954999999996, 2.146159 41.400795, 2.144453 41.399734, 2.1431950000000004 41.39894900000001, 2.14305 41.39884599999999, 2.1423396843357327 41.398541256521156)"
F-L6-MN,F-L6-BN,Muntaner - La Bonanova,L6,FGC,507.6850306717474,6.944444444444445,01:13,False,"LINESTRING (2.1423396843357327 41.398541256521156, 2.142106 41.39844099999999, 2.14124 41.398129000000004, 2.1403459999999996 41.397964, 2.1401770000000004 41.397929999999995, 2.139936 41.397896, 2.139185 41.39786900000001, 2.1387670000000005 41.39787700000001, 2.137399 41.397861000000006, 2.1364338604996322 41.39785862864988)"
F-L6-BN,F-L6-TT,La Bonanova - Les Tres Torres,L6,FGC,469.9928085627822,6.944444444444445,01:07,False,"LINESTRING (2.1364338604996322 41.39785862864988, 2.1361779999999997 41.397858, 2.135336 41.397858, 2.1331180000000005 41.39784199999998, 2.1323480000000004 41.397842, 2.1308120058373325 41.39784794195034)"
F-L6-TT,F-L6-SR,Les Tres Torres - Sarrià,L6,FGC,378.81151338712124,6.944444444444445,00:54,False,"LINESTRING (2.1308120058373325 41.39784794195034, 2.13028 41.39785, 2.127705 41.39784600000001, 2.1272550000000003 41.397884, 2.126938 41.397934000000014, 2.1265600000000004 41.398048, 2.126353 41.39814)"
F-L7-PC,F-L7-PR,Catalunya - Diagonal,L7,FGC,1217.9953753439286,6.944444444444445,02:55,False,"LINESTRING (2.168718900086694 41.38561742310187, 2.1678100000000002 41.3857, 2.16759 41.38575, 2.16729 41.38589100000001, 2.1665000000000005 41.38658899999999, 2.1656300000000006 41.387131, 2.1642 41.38816100000001, 2.158052267605229 41.39284244094162)"
F-L7-PR,F-L7-GR,Diagonal - Gràcia,L7,FGC,840.6511498472893,6.944444444444445,02:01,False,"LINESTRING (2.158052267605229 41.39284244094162, 2.1561499999999993 41.394290999999996, 2.15584 41.39471799999999, 2.15571 41.395019999999995, 2.15564 41.39537, 2.1553899999999997 41.39587000000001, 2.15473 41.396938, 2.15347 41.398300000000006, 2.1526649331316006 41.399100851858606)"
F-L7-GR,F-L7-PM,Gràcia - Pl. Molina,L7,FGC,602.6086039777929,6.944444444444445,01:26,False,"LINESTRING (2.1526649331316006 41.399100851858606, 2.15156 41.4002, 2.1512000000000007 41.400471, 2.1507799999999997 41.4007, 2.1501 41.400969999999994, 2.14955 41.401119, 2.14898 41.401199, 2.148356 41.401225999999994, 2.147725 41.40121500000001, 2.1474250000000006 41.401278999999995, 2.147283 41.40133300000001, 2.1467241819235707 41.40163780985987)"
F-L7-PM,F-L7-PD,Pl. Molina - Pàdua,L7,FGC,393.9744223492889,6.944444444444445,00:56,False,"LINESTRING (2.1467241819235707 41.40163780985987, 2.146073 41.401993, 2.145032 41.402573, 2.144866 41.402641, 2.144359 41.402809, 2.143726 41.402985, 2.143369 41.403088, 2.1432160000000002 41.403141, 2.1427238027854103 41.40345540139873)"
F-L7-PD,F-L7-EP,Pàdua - El Putxet,L7,FGC,416.65110696090414,6.944444444444445,00:59,False,"LINESTRING (2.1427238027854103 41.40345540139873, 2.142272 41.40374400000001, 2.141937 41.40390800000001, 2.141647 41.404022000000005, 2.1406870000000002 41.40434599999999, 2.139453 41.40507499999998, 2.1393620000000007 41.405163, 2.1392520000000004 41.405369, 2.139129 41.40563999999999, 2.1390910000000005 41.405735, 2.139070628144761 41.405800571909054)"
F-L7-EP,F-L7-TB,El Putxet - Av. Tibidabo,L7,FGC,446.6637795311527,6.944444444444445,01:04,False,"LINESTRING (2.139070628144761 41.405800571909054, 2.139059 41.405838, 2.138061 41.407416999999995, 2.137586 41.40821499999999, 2.1368425791341306 41.40945619768005)"
F-L8-PE,F-L8-MG,Espanya - Magòria La Campana,L8,FGC,1124.1906799552123,6.944444444444445,02:41,False,"LINESTRING (2.1484709 41.3745221, 2.144656800000001 41.371623699999994, 2.1389844444210846 41.36734837306142)"
F-L8-MG,F-L8-IC,Magòria La Campana - Ildefons Cerdà,L8,FGC,1043.4438796384416,6.944444444444445,02:30,False,"LINESTRING (2.1389844444210846 41.36734837306142, 2.1372163000000004 41.3660157, 2.1316266 41.361751999999996, 2.1301973111966515 41.36067721768813)"
F-L8-IC,F-L8-EU,Ildefons Cerdà - Europa | Fira,L8,FGC,683.8465459977768,6.944444444444445,01:38,False,"LINESTRING (2.1301973111966515 41.36067721768813, 2.1258652 41.35741959999999, 2.1242687814030163 41.35644516104106)"
F-L8-EU,F-L8-GO,Europa | Fira - Gornal,L8,FGC,782.2983496782979,6.944444444444445,01:52,False,"LINESTRING (2.1242687814030163 41.35644516104106, 2.1195191000000007 41.35354600000001, 2.1192616000000006 41.3534614, 2.1188861 41.353433200000005, 2.1184570000000003 41.3534735, 2.1180975000000006 41.3535862, 2.1178079 41.353759399999994, 2.1175772 41.3540131, 2.1171373 41.3545688, 2.1170820805406287 41.35465093452523)"
