id,stop_id,name,linia,stop_type,geometry
B-MB3-200118,200118,Pas soterrat Rodalies,MB3,Bus,POINT (2.0222919991 41.4088663561)
B-MB3-200128,200128,Verdaguer - Torras i Bages,MB3,Bus,POINT (2.0210167012 41.4155840401)
B-MB3-200130,200130,Ctra. de Vallvidrera - Av. de Collserola,MB3,Bus,POINT (2.0224672965 41.4163876044)
B-MB3-200119,200119,Joan Maragall,MB3,Bus,POINT (2.0240283375 41.4081463533)
B-MB3-200152,200152,Esglesia St. Bartomeu,MB3,Bus,POINT (2.0380744675 41.426346132)
B-MB3-200178,200178,Esglesia St. Bartomeu,MB3,Bus,POINT (2.0382118748 41.4264759697)
B-MB3-200153,200153,Ctra. de Vallvidrera,MB3,Bus,POINT (2.0404594755 41.4278055056)
B-MB3-200175,200175,Les Cases de Can Castellvi,MB3,Bus,POINT (2.0444468284 41.4357462035)
B-78-3433,3433,Ctra BV 2001- Benzinera,78,Bus,POINT (2.0503160056 41.3705690039)
B-78-3429,3429,Ctra BV 2001- Benzinera,78,Bus,POINT (2.0504120051 41.37059)
B-MB3-200174,200174,Can Santoi,MB3,Bus,POINT (2.0476776043 41.4363592588)
B-78-3428,3428,Major - Riera d'en Nofre,78,Bus,POINT (2.0528750029 41.3688579978)
B-78-2274,2274,Rambla Josep M Jujol - Baltasar d'Espanya,78,Bus,POINT (2.0543450005 41.3643879976)
B-78-2275,2275,Major - Pl Constitucio,78,Bus,POINT (2.0549310022 41.3668700026)
B-MB3-200169,200169,Av. Montserrat c. Barranc del Llop 2 - Montsec,MB3,Bus,POINT (2.0558277458 41.4446231772)
B-78-2276,2276,Major - Montjuic,78,Bus,POINT (2.0570739956 41.3647879956)
B-78-2667,2667,Av Barcelona - Major,78,Bus,POINT (2.0583319946 41.3633939989)
B-78-2248,2248,Av Barcelona - Rius i Taulet,78,Bus,POINT (2.0607409955 41.3667449977)
B-63-1723,1723,Av Lluis Companys - Rubio i Tuduri,63,Bus,POINT (2.0601599994 41.3774039986)
B-MB3-200163,200163,Av. Montserrat / Dos Termes,MB3,Bus,POINT (2.0617176381 41.4449422306)
B-78-904,904,Av Barcelona - Tambor del Bruc,78,Bus,POINT (2.0642540005 41.367872003)
B-MB3-200167,200167,Av. Montserrat / Dos Termes,MB3,Bus,POINT (2.0623880632 41.4454553174)
B-67-902,902,Rubio i Ors - Pl Quatre Camins,67,Bus,POINT (2.0667879941 41.3555229984)
B-68-902,902,Rubio i Ors - Pl Quatre Camins,68,Bus,POINT (2.0667879941 41.3555229984)
B-78-1739,1739,Fructuos Gelabert - Jacint Verdaguer,78,Bus,POINT (2.0672969995 41.3727600039)
B-63-1720,1720,Av Industria - Av Camp Roig,63,Bus,POINT (2.0669090055 41.3804899999)
B-157-1720,1720,Av Industria - Av Camp Roig,157,Bus,POINT (2.0669090055 41.3804899999)
B-63-408,408,Av Industria - Salvador Espriu,63,Bus,POINT (2.0685190007 41.3815679998)
B-157-408,408,Av Industria - Salvador Espriu,157,Bus,POINT (2.0685190007 41.3815679998)
B-78-1657,1657,Av Barcelona - Mare de Deu de la Merce,78,Bus,POINT (2.0706380008 41.3685080027)
B-157-1921,1921,Sant Marti de l'Erm - Josep Trueta,157,Bus,POINT (2.0705999956 41.3717209975)
B-78-3135,3135,Jacint Verdaguer  -  Josep Trueta,78,Bus,POINT (2.0713019971 41.3737610007)
B-78-1633,1633,Jacint Verdaguer - de la TV3,78,Bus,POINT (2.0714600017 41.3739759967)
B-157-1633,1633,Jacint Verdaguer - de la TV3,157,Bus,POINT (2.0714600017 41.3739759967)
B-63-1054,1054,Hereter - Av Industria,63,Bus,POINT (2.0714399966 41.3827489991)
B-157-1054,1054,Hereter - Av Industria,157,Bus,POINT (2.0714399966 41.3827489991)
B-JT-1054,1054,Hereter - Av Industria,JT,Bus,POINT (2.0714399966 41.3827489991)
B-67-1156,1156,Av del Parc - Bellaterra,67,Bus,POINT (2.0736049943 41.3589279955)
B-68-1200,1200,Ctra d'Esplugues - La Miranda,68,Bus,POINT (2.0727800018 41.3611360036)
B-78-1919,1919,Av Baix Llobregat - St Marti de l'Erm,78,Bus,POINT (2.0739739988 41.3737719961)
B-157-1919,1919,Av Baix Llobregat - St Marti de l'Erm,157,Bus,POINT (2.0739739988 41.3737719961)
B-63-1053,1053,El Parador,63,Bus,POINT (2.0740920045 41.3829670035)
B-157-1053,1053,El Parador,157,Bus,POINT (2.0740920045 41.3829670035)
B-JM-1053,1053,El Parador,JM,Bus,POINT (2.0740920045 41.3829670035)
B-JM-107512,107512,Miquel Reverter - Mn. Antonino Tenas,JM,Bus,POINT (2.0734934711 41.3864107003)
B-JT-107512,107512,Miquel Reverter - Mn. Antonino Tenas,JT,Bus,POINT (2.0734934711 41.3864107003)
B-JM-110576,110576,Miquel Reverter - Carles Mercader,JM,Bus,POINT (2.073680626 41.3856762697)
B-JT-110576,110576,Miquel Reverter - Carles Mercader,JT,Bus,POINT (2.073680626 41.3856762697)
B-67-3833,3833,Pl. de la Llibertat,67,Bus,POINT (2.075847997 41.3528160012)
B-68-3833,3833,Pl. de la Llibertat,68,Bus,POINT (2.075847997 41.3528160012)
B-67-1157,1157,Av del Parc - Bonavista,67,Bus,POINT (2.0762553311 41.3595776748)
B-157-2631,2631,Av Barcelona - John F Kennedy,157,Bus,POINT (2.0760239976 41.3705920001)
B-78-2636,2636,Av Baix Llobregat - Angel Guimera,78,Bus,POINT (2.0770890044 41.3714950013)
B-63-1212,1212,Rambla Sant Just - Catalunya,63,Bus,POINT (2.0752489968 41.3803399957)
B-157-1212,1212,Rambla Sant Just - Catalunya,157,Bus,POINT (2.0752489968 41.3803399957)
B-JT-1212,1212,Rambla Sant Just - Catalunya,JT,Bus,POINT (2.0752489968 41.3803399957)
B-63-1749,1749,Ctra Reial - Rambla Modolell,63,Bus,POINT (2.076869005 41.3785689976)
B-157-1749,1749,Ctra Reial - Rambla Modolell,157,Bus,POINT (2.076869005 41.3785689976)
B-63-1052,1052,Rambla Sant Just - Major,63,Bus,POINT (2.0751029969 41.380882001)
B-157-1052,1052,Rambla Sant Just - Major,157,Bus,POINT (2.0751029969 41.380882001)
B-JM-1052,1052,Rambla Sant Just - Major,JM,Bus,POINT (2.0751029969 41.380882001)
B-JT-1052,1052,Rambla Sant Just - Major,JT,Bus,POINT (2.0751029969 41.380882001)
B-JT-107564,107564,Bonavista - Sant Josep,JT,Bus,POINT (2.0760093222 41.3876851615)
B-67-597,597,Ctra de L'Hospitalet - Av Fama,67,Bus,POINT (2.0799239999 41.3538199981)
B-68-597,597,Ctra de L'Hospitalet - Av Fama,68,Bus,POINT (2.0799239999 41.3538199981)
B-67-642,642,La Miranda - Pl Catalunya,67,Bus,POINT (2.0782320002 41.3600200043)
B-68-1197,1197,Ctra d'Esplugues - Oliverar,68,Bus,POINT (2.0778289985 41.3666510023)
B-68-643,643,Ctra d'Esplugues - Les Garrigues,68,Bus,POINT (2.0790589989 41.3675859964)
B-78-2638,2638,Av Baix Llobregat - Enric Granados,78,Bus,POINT (2.0786880043 41.3701800001)
B-JT-102298,102298,Freixes - del Mercat,JT,Bus,POINT (2.0775952209 41.3847916834)
B-65-1691,1691,Policia Local,65,Bus,POINT (2.0833499945 41.3174649989)
B-PR3-1691,1691,Policia Local,PR3,Bus,POINT (2.0833499945 41.3174649989)
B-67-1656,1656,Av Sant Ildefons - Bruc,67,Bus,POINT (2.0808180047 41.3604900027)
B-67-1655,1655,Av Sant Ildefons - Av Republica Argentina,67,Bus,POINT (2.0828160023 41.3627680039)
B-67-1202,1202,Av de Sant Ildefons - Avet,67,Bus,POINT (2.0827889984 41.3655040028)
B-67-352,352,Av de Sant Ildefons - Cirerer,67,Bus,POINT (2.0828790046 41.3655952637)
B-67-645,645,Av de Cornella - Gall,67,Bus,POINT (2.080804995 41.3697160013)
B-68-645,645,Av de Cornella - Gall,68,Bus,POINT (2.080804995 41.3697160013)
B-78-645,645,Av de Cornella - Gall,78,Bus,POINT (2.080804995 41.3697160013)
B-67-644,644,Av de Cornella - Mila i Pi,67,Bus,POINT (2.0829280001 41.3718560013)
B-68-644,644,Av de Cornella - Mila i Pi,68,Bus,POINT (2.0829280001 41.3718560013)
B-78-644,644,Av de Cornella - Mila i Pi,78,Bus,POINT (2.0829280001 41.3718560013)
B-EP1-100687,100687,Av. Isidre Marti - Angel Guimera,EP1,Bus,POINT (2.0830606342 41.3759576111)
B-EP1-108115,108115,Av. Isidre Marti - CAP Lluis Millet,EP1,Bus,POINT (2.083469547 41.3747881453)
B-63-1751,1751,Laurea Miro - Alcalde Marti Figueras i Castillo,63,Bus,POINT (2.0823740046 41.3779569962)
B-157-1751,1751,Laurea Miro - Alcalde Marti Figueras i Castillo,157,Bus,POINT (2.0823740046 41.3779569962)
B-EP1-1751,1751,Laurea Miro - Alcalde Marti Figueras i Castillo,EP1,Bus,POINT (2.0823740046 41.3779569962)
B-EP2-1751,1751,Laurea Miro - Alcalde Marti Figueras i Castillo,EP2,Bus,POINT (2.0823740046 41.3779569962)
B-JT-1751,1751,Laurea Miro - Alcalde Marti Figueras i Castillo,JT,Bus,POINT (2.0823740046 41.3779569962)
B-EP1-109776,109776,Nord - Magdalena Amigo,EP1,Bus,POINT (2.0819184765 41.3795254608)
B-EP2-109776,109776,Nord - Magdalena Amigo,EP2,Bus,POINT (2.0819184765 41.3795254608)
B-JT-109776,109776,Nord - Magdalena Amigo,JT,Bus,POINT (2.0819184765 41.3795254608)
B-EP1-109775,109775,Nord - Andreu Amat,EP1,Bus,POINT (2.0820686888 41.3795226193)
B-EP2-109775,109775,Nord - Andreu Amat,EP2,Bus,POINT (2.0820686888 41.3795226193)
B-JT-109775,109775,Nord - Andreu Amat,JT,Bus,POINT (2.0820686888 41.3795226193)
B-EP1-102999,102999,Nord - Via Augusta,EP1,Bus,POINT (2.0818067333 41.3813465032)
B-EP2-102999,102999,Nord - Via Augusta,EP2,Bus,POINT (2.0818067333 41.3813465032)
B-JT-102999,102999,Nord - Via Augusta,JT,Bus,POINT (2.0818067333 41.3813465032)
B-EP1-107524,107524,Via Augusta - Can Dori,EP1,Bus,POINT (2.0828400059 41.3824555702)
B-EP2-107524,107524,Via Augusta - Can Dori,EP2,Bus,POINT (2.0828400059 41.3824555702)
B-JM-107524,107524,Via Augusta - Can Dori,JM,Bus,POINT (2.0828400059 41.3824555702)
B-JT-107524,107524,Via Augusta - Can Dori,JT,Bus,POINT (2.0828400059 41.3824555702)
B-JT-109321,109321,Sant Ferran - Muntanya,JT,Bus,POINT (2.0817457524 41.3842755884)
B-EP1-108673,108673,Via Augusta - Ntra. Sra. de Lourdes,EP1,Bus,POINT (2.082165394 41.3829776805)
B-EP2-108673,108673,Via Augusta - Ntra. Sra. de Lourdes,EP2,Bus,POINT (2.082165394 41.3829776805)
B-JM-108673,108673,Via Augusta - Ntra. Sra. de Lourdes,JM,Bus,POINT (2.082165394 41.3829776805)
B-JT-108673,108673,Via Augusta - Ntra. Sra. de Lourdes,JT,Bus,POINT (2.082165394 41.3829776805)
B-JT-107553,107553,Batista i Roca - Bruc,JT,Bus,POINT (2.0823101474 41.3881856917)
B-21-2821,2821,Av Remolar - Rda de Ponent,21,Bus,POINT (2.0869119989 41.3260869988)
B-PR4-2821,2821,Av Remolar - Rda de Ponent,PR4,Bus,POINT (2.0869119989 41.3260869988)
B-L22-2821,2821,Av Remolar - Rda de Ponent,L22,Bus,POINT (2.0869119989 41.3260869988)
B-21-3288,3288,Vall d'Aran - Rda. de Ponent,21,Bus,POINT (2.0866982436 41.328398)
B-PR4-3288,3288,Vall d'Aran - Rda. de Ponent,PR4,Bus,POINT (2.0866982436 41.328398)
B-L22-3288,3288,Vall d'Aran - Rda. de Ponent,L22,Bus,POINT (2.0866982436 41.328398)
