id,stop_id,name,linia,stop_type,geometry
SB-2,2,Av Icària - Àlaba,IU Stop,Bus,POINT (2.198984998801282 41.393104003754864)
SB-3,3,València - Muntaner,IU Stop,Bus,POINT (2.1578909990979396 41.388546000808674)
SB-4,4,Mallorca - Balmes,IU Stop,Bus,POINT (2.1587319985704574 41.3910210013052)
SB-7,7,Pl Universitat,IU Stop,Bus,POINT (2.163310002198641 41.385906997198724)
SB-8,8,Pl de Carles Buïgas,IU Stop,Bus,POINT (2.150117999333274 41.37104500250685)
SB-12,12,Llinars - Santander,IU Stop,Bus,POINT (2.207305000530648 41.43475499562166)
SB-13,13,Sas - Claramunt,IU Stop,Bus,POINT (2.204183000631267 41.43759099894411)
SB-15,15,Via Favència - Almagro,IU Stop,Bus,POINT (2.172054997977336 41.443910002795576)
SB-16,16,Via Favència - Castor,IU Stop,Bus,POINT (2.1701980040345346 41.442689996995604)
SB-17,17,Les Torres - Mina de la Ciutat,IU Stop,Bus,POINT (2.1716099982294024 41.44665200010537)
SB-18,18,Antonio Machado - E M de Natació,IU Stop,Bus,POINT (2.1705049974447705 41.44429500110895)
SB-20,20,Antonio Machado - Artesania,IU Stop,Bus,POINT (2.1708209987695013 41.44438500256856)
SB-21,21,Palau Reial,IU Stop,Bus,POINT (2.116137003046015 41.38559299631731)
SB-22,22,Av República Argentina - Vallcarca,IU Stop,Bus,POINT (2.14397300571118 41.4113650013362)
SB-24,24,Ronda Guineueta Vella - Barri Canyelles,IU Stop,Bus,POINT (2.165218994958609 41.44432500392026)
SB-25,25,Ronda Guineueta Vella - Escola Deià,IU Stop,Bus,POINT (2.1677870058146613 41.444835001400655)
SB-27,27,Metro Marina,IU Stop,Bus,POINT (2.18760533049506 41.39442794991222)
SB-28,28,Hospital Vall d'Hebron,IU Stop,Bus,POINT (2.1429920031165883 41.4268919977002)
SB-29,29,Sant Genís dels Agudells - Natzaret,IU Stop,Bus,POINT (2.138050002578791 41.4291970016704)
SB-30,30,Sant Genís dels Agudells,IU Stop,Bus,POINT (2.1381450003053604 41.42942999716765)
SB-31,31,Llull - Àlaba,IU Stop,Bus,POINT (2.1955200031368363 41.39601999691652)
SB-32,32,Metro Glòries,IU Stop,Bus,POINT (2.188084289126144 41.40302045927813)
SB-34,34,Av Icària - Av Bogatell,IU Stop,Bus,POINT (2.199317998139265 41.39302500168205)
SB-36,36,Metro Marina,IU Stop,Bus,POINT (2.1875449941364367 41.39415300216471)
SB-38,38,Marina - Ribes,IU Stop,Bus,POINT (2.1829320058197403 41.39770899748059)
