id,name,stop_type,geometry
SF-AL,Almeda,FGC,POINT (2.085251402 41.35306746999999)
SF-BN,La Bonanova,FGC,POINT (2.1364339660000002 41.39781569)
SF-EP,El Putxet,FGC,POINT (2.139151477 41.40582569)
SF-GO,Gornal,FGC,POINT (2.117431558 41.35488588999999)
SF-GR,Gràcia,FGC,POINT (2.1526623250000005 41.39909823000001)
SF-IC,Ildefons Cerdà,FGC,POINT (2.1300232660000002 41.36090867000001)
SF-LF,La Floresta,FGC,POINT (2.0731661440000004 41.44487407999999)
SF-LP,Les Planes,FGC,POINT (2.0916176 41.42740264)
SF-MG,Magòria La Campana,FGC,POINT (2.138879447 41.367487679999996)
SF-MN,Muntaner,FGC,POINT (2.142346041 41.39852644)
SF-PD,Pàdua,FGC,POINT (2.142759094 41.40351065000001)
SF-PF,Peu del Funicular,FGC,POINT (2.111181541000001 41.40921616000001)
SF-PM,Pl. Molina,FGC,POINT (2.146754722 41.40169379999999)
SF-RE,Reina Elisenda,FGC,POINT (2.1189323250000003 41.39874599)
SF-SG,Sant Gervasi,FGC,POINT (2.147133783 41.40106608)
SF-SP,Sant Josep,FGC,POINT (2.1099166499999997 41.36070098)
SF-SR,Sarrià,FGC,POINT (2.1255748750000003 41.39849937999999)
SF-TB,Av. Tibidabo,FGC,POINT (2.137162791 41.40964799000001)
SF-TT,Les Tres Torres,FGC,POINT (2.1308118220000005 41.397800419999996)
SF-VD,Valldoreix,FGC,POINT (2.06831203 41.45784155999999)
SF-VL,Baixador de Vallvidrera,FGC,POINT (2.096936777 41.420094410000004)
