id,name,linia,stop_type,geometry
F-L8-AL,Almeda,L8,FGC,POINT (2.085251402 41.35306746999999)
F-L8-LH,Av. Carrilet,L8,FGC,POINT (2.1026452900000003 41.358521620000005)
F-L7-TB,Av. Tibidabo,L7,FGC,POINT (2.137162791 41.40964799000001)
F-S1-VL,Baixador de Vallvidrera,S1,FGC,POINT (2.096936777 41.420094410000004)
F-S1-PC,Catalunya,S1,FGC,POINT (2.1697167600000005 41.38771322)
F-L7-PC,Catalunya,L7,FGC,POINT (2.1697167600000005 41.38771322)
F-L6-PC,Catalunya,L6,FGC,POINT (2.1697167600000005 41.38771322)
F-S1-PR,Diagonal,S1,FGC,POINT (2.16044376 41.395676599999994)
F-L7-PR,Diagonal,L7,FGC,POINT (2.16044376 41.395676599999994)
F-L6-PR,Diagonal,L6,FGC,POINT (2.16044376 41.395676599999994)
F-L7-EP,El Putxet,L7,FGC,POINT (2.139151477 41.40582569)
F-L8-PE,Espanya,L8,FGC,POINT (2.149387 41.375459109999994)
F-L8-EU,Europa | Fira,L8,FGC,POINT (2.1259237799999995 41.357560429999985)
F-L8-GO,Gornal,L8,FGC,POINT (2.117431558 41.35488588999999)
F-L7-GR,Gràcia,L7,FGC,POINT (2.1526623250000005 41.39909823000001)
F-S1-GR,Gràcia,S1,FGC,POINT (2.1526623250000005 41.39909823000001)
F-L6-GR,Gràcia,L6,FGC,POINT (2.1526623250000005 41.39909823000001)
F-L8-IC,Ildefons Cerdà,L8,FGC,POINT (2.1300232660000002 41.36090867000001)
F-L6-BN,La Bonanova,L6,FGC,POINT (2.1364339660000002 41.39781569)
F-S1-BN,La Bonanova,S1,FGC,POINT (2.1364339660000002 41.39781569)
F-S1-LF,La Floresta,S1,FGC,POINT (2.0731661440000004 41.44487407999999)
F-S1-LP,Les Planes,S1,FGC,POINT (2.0916176 41.42740264)
F-L6-TT,Les Tres Torres,L6,FGC,POINT (2.1308118220000005 41.397800419999996)
F-S1-TT,Les Tres Torres,S1,FGC,POINT (2.1308118220000005 41.397800419999996)
F-L8-MG,Magòria La Campana,L8,FGC,POINT (2.138879447 41.367487679999996)
F-L6-MN,Muntaner,L6,FGC,POINT (2.142346041 41.39852644)
F-S1-MN,Muntaner,S1,FGC,POINT (2.142346041 41.39852644)
F-S1-PF,Peu del Funicular,S1,FGC,POINT (2.111181541000001 41.40921616000001)
F-L7-PM,Pl. Molina,L7,FGC,POINT (2.146754722 41.40169379999999)
F-L7-PD,Pàdua,L7,FGC,POINT (2.142759094 41.40351065000001)
F-L12-RE,Reina Elisenda,L12,FGC,POINT (2.1189323250000003 41.39874599)
F-S1-SG,Sant Gervasi,S1,FGC,POINT (2.147133783 41.40106608)
F-L6-SG,Sant Gervasi,L6,FGC,POINT (2.147133783 41.40106608)
F-L8-SP,Sant Josep,L8,FGC,POINT (2.1099166499999997 41.36070098)
F-L6-SR,Sarrià,L6,FGC,POINT (2.1255748750000003 41.39849937999999)
F-S1-SR,Sarrià,S1,FGC,POINT (2.1255748750000003 41.39849937999999)
F-L12-SR,Sarrià,L12,FGC,POINT (2.1255748750000003 41.39849937999999)
F-S1-VD,Valldoreix,S1,FGC,POINT (2.06831203 41.45784155999999)
