id,stop_id,name,linia,stop_type,geometry
SM-119,119,Mercat Nou,IU Stop,Metro,POINT (2.13353578 41.3730027)
SM-120,120,Plaça de Sants,IU Stop,Metro,POINT (2.13557556 41.37553225)
SM-121,121,Hostafrancs,IU Stop,Metro,POINT (2.14329127 41.37525363)
SM-122,122,Espanya,IU Stop,Metro,POINT (2.149387 41.37545911)
SM-123,123,Rocafort,IU Stop,Metro,POINT (2.15456248 41.37923215)
SM-124,124,Urgell,IU Stop,Metro,POINT (2.15889091 41.3824874)
SM-125,125,Universitat,IU Stop,Metro,POINT (2.16405855 41.3855879)
SM-126,126,Catalunya,IU Stop,Metro,POINT (2.16971676 41.38771322)
SM-127,127,Urquinaona,IU Stop,Metro,POINT (2.17366776 41.38884688)
SM-128,128,Arc de Triomf,IU Stop,Metro,POINT (2.18116467 41.39233666)
SM-129,129,Marina,IU Stop,Metro,POINT (2.18580103 41.39472529)
SM-130,130,Glòries,IU Stop,Metro,POINT (2.18753747 41.40227722)
SM-131,131,Clot,IU Stop,Metro,POINT (2.18697812 41.41051171)
SM-132,132,Navas,IU Stop,Metro,POINT (2.18705678 41.41618671)
SM-133,133,La Sagrera,IU Stop,Metro,POINT (2.18681133 41.42069594)
SM-134,134,Fabra i Puig,IU Stop,Metro,POINT (2.18366143 41.4296326)
SM-135,135,Sant Andreu,IU Stop,Metro,POINT (2.1911884 41.43661037)
SM-136,136,Torras i Bages,IU Stop,Metro,POINT (2.19067063 41.44322471)
SM-137,137,Trinitat Vella,IU Stop,Metro,POINT (2.19383728 41.44895649)
SM-138,138,Baró de Viver,IU Stop,Metro,POINT (2.19956302 41.449936)
SM-210,210,Paral·lel,IU Stop,Metro,POINT (2.16902937 41.37458126)
SM-211,211,Sant Antoni,IU Stop,Metro,POINT (2.16324114 41.37983284)
SM-213,213,Passeig de Gràcia,IU Stop,Metro,POINT (2.16735101 41.39010632)
SM-214,214,Tetuan,IU Stop,Metro,POINT (2.17555918 41.39488745)
SM-215,215,Monumental,IU Stop,Metro,POINT (2.17946167 41.40052374)
SM-216,216,Sagrada Família,IU Stop,Metro,POINT (2.17449041 41.40441909)
SM-217,217,Encants,IU Stop,Metro,POINT (2.18270037 41.40723598)
SM-219,219,Bac de Roda,IU Stop,Metro,POINT (2.19550325 41.41516206)
SM-220,220,Sant Martí,IU Stop,Metro,POINT (2.20072391 41.41906362)
SM-221,221,La Pau,IU Stop,Metro,POINT (2.2058782 41.42325112)
SM-314,314,Zona Universitària,IU Stop,Metro,POINT (2.11138892 41.38400257)
SM-315,315,Palau Reial,IU Stop,Metro,POINT (2.11853818 41.38598006)
SM-316,316,Maria Cristina,IU Stop,Metro,POINT (2.12579123 41.38781569)
SM-317,317,Les Corts,IU Stop,Metro,POINT (2.13087101 41.38411968)
SM-318,318,Plaça del Centre,IU Stop,Metro,POINT (2.13588371 41.38192171)
SM-319,319,Sants Estació,IU Stop,Metro,POINT (2.14189238 41.38096118)
SM-320,320,Tarragona,IU Stop,Metro,POINT (2.14533577 41.378493)
SM-322,322,Poble Sec,IU Stop,Metro,POINT (2.16024482 41.3749962)
SM-324,324,Drassanes,IU Stop,Metro,POINT (2.17566417 41.37653761)
SM-325,325,Liceu,IU Stop,Metro,POINT (2.17303028 41.38144543)
SM-328,328,Diagonal,IU Stop,Metro,POINT (2.16044376 41.3956766)
SM-329,329,Fontana,IU Stop,Metro,POINT (2.15302244 41.40200888)
SM-330,330,Lesseps,IU Stop,Metro,POINT (2.15040712 41.40573803)
SM-331,331,Vallcarca,IU Stop,Metro,POINT (2.14433731 41.41197495)
SM-332,332,Penitents,IU Stop,Metro,POINT (2.14097179 41.41827912)
SM-333,333,Vall d'Hebron,IU Stop,Metro,POINT (2.14251471 41.42512314)
SM-334,334,Montbau,IU Stop,Metro,POINT (2.14503928 41.43062016)
SM-335,335,Mundet,IU Stop,Metro,POINT (2.1484718 41.43564527)
SM-336,336,Valldaura,IU Stop,Metro,POINT (2.15687783 41.43799608)
SM-337,337,Canyelles,IU Stop,Metro,POINT (2.16638755 41.44175373)
SM-338,338,Roquetes,IU Stop,Metro,POINT (2.17609769 41.44766968)
SM-339,339,Trinitat Nova,IU Stop,Metro,POINT (2.18285521 41.44976211)
SM-414,414,Besòs,IU Stop,Metro,POINT (2.2103013 41.41983553)
SM-415,415,Besòs Mar,IU Stop,Metro,POINT (2.21608159 41.415099)
SM-416,416,El Maresme | Fòrum,IU Stop,Metro,POINT (2.21654808 41.41168572)
SM-417,417,Selva de Mar,IU Stop,Metro,POINT (2.2091225 41.40800151)
SM-418,418,Poblenou,IU Stop,Metro,POINT (2.20337123 41.40371612)
SM-419,419,Llacuna,IU Stop,Metro,POINT (2.19771171 41.39942504)
SM-420,420,Bogatell,IU Stop,Metro,POINT (2.1920124 41.3951075)
SM-421,421,Ciutadella | Vila Olímpica,IU Stop,Metro,POINT (2.19296314 41.38664023)
SM-422,422,Barceloneta,IU Stop,Metro,POINT (2.18478678 41.38181098)
SM-423,423,Jaume I,IU Stop,Metro,POINT (2.17853146 41.38412627)
SM-426,426,Girona,IU Stop,Metro,POINT (2.17082483 41.39492035)
SM-427,427,Verdaguer,IU Stop,Metro,POINT (2.16831288 41.39996848)
SM-428,428,Joanic,IU Stop,Metro,POINT (2.16322503 41.4064269)
SM-429,429,Alfons X,IU Stop,Metro,POINT (2.16651196 41.41241568)
SM-430,430,Guinardó | Hospital de Sant Pau,IU Stop,Metro,POINT (2.17398904 41.4159622)
SM-431,431,Maragall,IU Stop,Metro,POINT (2.17741272 41.42412908)
SM-432,432,Llucmajor,IU Stop,Metro,POINT (2.1733434 41.43698465)
SM-433,433,Via Júlia,IU Stop,Metro,POINT (2.178644112654211 41.44382473874993)
SM-516,516,Badal,IU Stop,Metro,POINT (2.12740211 41.37558063)
SM-519,519,Entença,IU Stop,Metro,POINT (2.14561859 41.38446686)
SM-520,520,Hospital Clínic,IU Stop,Metro,POINT (2.15108107 41.38860776)
SM-524,524,Sant Pau | Dos de Maig,IU Stop,Metro,POINT (2.17601603 41.41075328)
SM-525,525,Camp de l'Arpa,IU Stop,Metro,POINT (2.18149721 41.41505961)
SM-527,527,Congrés,IU Stop,Metro,POINT (2.18118622 41.42344043)
SM-529,529,Virrei Amat,IU Stop,Metro,POINT (2.17491306 41.42970334)
SM-530,530,Vilapicina,IU Stop,Metro,POINT (2.16761908 41.43046507)
SM-531,531,Horta,IU Stop,Metro,POINT (2.1599744 41.42969252)
SM-532,532,El Carmel,IU Stop,Metro,POINT (2.15509894 41.42444977)
SM-533,533,El Coll | La Teixonera,IU Stop,Metro,POINT (2.1483485 41.42199714)
SM-910,910,Mercabarna,IU Stop,Metro,POINT (2.11125716 41.33350192)
SM-911,911,Parc Logístic,IU Stop,Metro,POINT (2.12740125 41.34166355)
SM-932,932,Onze de Setembre,IU Stop,Metro,POINT (2.19361021 41.42961749)
SM-933,933,Bon Pastor,IU Stop,Metro,POINT (2.20524027 41.4361627)
SM-951,951,ZAL | Riu Vell,IU Stop,Metro,POINT (2.13309543 41.32370587)
SM-952,952,Ecoparc,IU Stop,Metro,POINT (2.13707118 41.33015871)
SM-953,953,Port Comercial | La Factoria,IU Stop,Metro,POINT (2.14065723 41.33598305)
SM-954,954,Zona Franca,IU Stop,Metro,POINT (2.14496443 41.3429761)
SM-956,956,Foc,IU Stop,Metro,POINT (2.14180432 41.35616087)
SM-957,957,Foneria,IU Stop,Metro,POINT (2.13822891 41.36109924)
SM-1137,1137,Casa de l'Aigua,IU Stop,Metro,POINT (2.18483965 41.45127784)
SM-1138,1138,Torre Baró | Vallbona,IU Stop,Metro,POINT (2.1805862708668546 41.45933105938047)
SM-1139,1139,Ciutat Meridiana,IU Stop,Metro,POINT (2.17464988 41.46080821)
