id,name,linia,stop_type,geometry
M-L1-111,Hospital de Bellvitge,L1,Metro,POINT (2.10724214 41.34467745)
M-L1-112,Bellvitge,L1,Metro,POINT (2.11091829 41.35097352)
M-L1-113,Av. Carrilet,L1,Metro,POINT (2.10264529 41.35852162)
M-L1-114,Rambla Just Oliveras,L1,Metro,POINT (2.09974934 41.36408991)
M-L1-115,Can Serra,L1,Metro,POINT (2.10275471 41.36769339)
M-L1-116,Florida,L1,Metro,POINT (2.11002737 41.36831605)
M-L1-117,Torrassa,L1,Metro,POINT (2.11608943 41.36826071)
M-L9-117,Torrassa,L9,Metro,POINT (2.11608943 41.36826071)
M-L10-117,Torrassa,L10,Metro,POINT (2.11608943 41.36826071)
M-L1-118,Santa Eulàlia,L1,Metro,POINT (2.12861726 41.36881637)
M-L1-119,Mercat Nou,L1,Metro,POINT (2.13353578 41.3730027)
M-L1-120,Plaça de Sants,L1,Metro,POINT (2.13557556 41.37553225)
M-L5-120,Plaça de Sants,L5,Metro,POINT (2.13557556 41.37553225)
M-L1-121,Hostafrancs,L1,Metro,POINT (2.14329127 41.37525363)
M-L1-122,Espanya,L1,Metro,POINT (2.149387 41.37545911)
M-L3-122,Espanya,L3,Metro,POINT (2.149387 41.37545911)
M-L1-123,Rocafort,L1,Metro,POINT (2.15456248 41.37923215)
M-L1-124,Urgell,L1,Metro,POINT (2.15889091 41.3824874)
M-L1-125,Universitat,L1,Metro,POINT (2.16405855 41.3855879)
M-L2-125,Universitat,L2,Metro,POINT (2.16405855 41.3855879)
M-L1-126,Catalunya,L1,Metro,POINT (2.16971676 41.38771322)
M-L3-126,Catalunya,L3,Metro,POINT (2.16971676 41.38771322)
M-L1-127,Urquinaona,L1,Metro,POINT (2.17366776 41.38884688)
M-L4-127,Urquinaona,L4,Metro,POINT (2.17366776 41.38884688)
M-L1-128,Arc de Triomf,L1,Metro,POINT (2.18116467 41.39233666)
M-L1-129,Marina,L1,Metro,POINT (2.18580103 41.39472529)
M-L1-130,Glòries,L1,Metro,POINT (2.18753747 41.40227722)
M-L1-131,Clot,L1,Metro,POINT (2.18697812 41.41051171)
M-L2-131,Clot,L2,Metro,POINT (2.18697812 41.41051171)
M-L1-132,Navas,L1,Metro,POINT (2.18705678 41.41618671)
M-L1-133,La Sagrera,L1,Metro,POINT (2.18681133 41.42069594)
M-L5-133,La Sagrera,L5,Metro,POINT (2.18681133 41.42069594)
M-L9-133,La Sagrera,L9,Metro,POINT (2.18681133 41.42069594)
M-L10-133,La Sagrera,L10,Metro,POINT (2.18681133 41.42069594)
M-L1-134,Fabra i Puig,L1,Metro,POINT (2.18366143 41.4296326)
M-L1-135,Sant Andreu,L1,Metro,POINT (2.1911884 41.43661037)
M-L1-136,Torras i Bages,L1,Metro,POINT (2.19067063 41.44322471)
M-L1-137,Trinitat Vella,L1,Metro,POINT (2.19383728 41.44895649)
M-L1-138,Baró de Viver,L1,Metro,POINT (2.19956302 41.449936)
M-L1-139,Santa Coloma,L1,Metro,POINT (2.20796946 41.45106735)
M-L1-140,Fondo,L1,Metro,POINT (2.21853812 41.45168719)
M-L9-140,Fondo,L9,Metro,POINT (2.21853812 41.45168719)
M-L2-210,Paral·lel,L2,Metro,POINT (2.16902937 41.37458126)
M-L3-210,Paral·lel,L3,Metro,POINT (2.16902937 41.37458126)
M-L2-211,Sant Antoni,L2,Metro,POINT (2.16324114 41.37983284)
M-L2-213,Passeig de Gràcia,L2,Metro,POINT (2.16735101 41.39010632)
M-L3-213,Passeig de Gràcia,L3,Metro,POINT (2.16735101 41.39010632)
M-L4-213,Passeig de Gràcia,L4,Metro,POINT (2.16735101 41.39010632)
M-L2-214,Tetuan,L2,Metro,POINT (2.17555918 41.39488745)
M-L2-215,Monumental,L2,Metro,POINT (2.17946167 41.40052374)
M-L2-216,Sagrada Família,L2,Metro,POINT (2.17449041 41.40441909)
M-L5-216,Sagrada Família,L5,Metro,POINT (2.17449041 41.40441909)
M-L2-217,Encants,L2,Metro,POINT (2.18270037 41.40723598)
M-L2-219,Bac de Roda,L2,Metro,POINT (2.19550325 41.41516206)
M-L2-220,Sant Martí,L2,Metro,POINT (2.20072391 41.41906362)
M-L2-221,La Pau,L2,Metro,POINT (2.2058782 41.42325112)
M-L4-221,La Pau,L4,Metro,POINT (2.2058782 41.42325112)
M-L2-222,Verneda,L2,Metro,POINT (2.20988342 41.43000446)
M-L2-223,Artigues | Sant Adrià,L2,Metro,POINT (2.21777176 41.43384823)
M-L2-224,Sant Roc,L2,Metro,POINT (2.22860618 41.43583082)
M-L2-225,Gorg,L2,Metro,POINT (2.23380706 41.44025986)
M-L10-225,Gorg,L10,Metro,POINT (2.23380706 41.44025986)
M-L2-226,Pep Ventura,L2,Metro,POINT (2.23795938 41.44390457)
M-L2-227,Badalona Pompeu Fabra,L2,Metro,POINT (2.24409916 41.4490526)
M-L3-314,Zona Universitària,L3,Metro,POINT (2.11138892 41.38400257)
M-L9-314,Zona Universitària,L9,Metro,POINT (2.11138892 41.38400257)
M-L3-315,Palau Reial,L3,Metro,POINT (2.11853818 41.38598006)
M-L3-316,Maria Cristina,L3,Metro,POINT (2.12579123 41.38781569)
M-L3-317,Les Corts,L3,Metro,POINT (2.13087101 41.38411968)
M-L3-318,Plaça del Centre,L3,Metro,POINT (2.13588371 41.38192171)
M-L3-319,Sants Estació,L3,Metro,POINT (2.14189238 41.38096118)
M-L5-319,Sants Estació,L5,Metro,POINT (2.14189238 41.38096118)
M-L3-320,Tarragona,L3,Metro,POINT (2.14533577 41.378493)
M-L3-322,Poble Sec,L3,Metro,POINT (2.16024482 41.3749962)
M-L3-324,Drassanes,L3,Metro,POINT (2.17566417 41.37653761)
M-L3-325,Liceu,L3,Metro,POINT (2.17303028 41.38144543)
M-L3-328,Diagonal,L3,Metro,POINT (2.16044376 41.3956766)
M-L5-328,Diagonal,L5,Metro,POINT (2.16044376 41.3956766)
M-L3-329,Fontana,L3,Metro,POINT (2.15302244 41.40200888)
M-L3-330,Lesseps,L3,Metro,POINT (2.15040712 41.40573803)
M-L3-331,Vallcarca,L3,Metro,POINT (2.14433731 41.41197495)
M-L3-332,Penitents,L3,Metro,POINT (2.14097179 41.41827912)
M-L3-333,Vall d'Hebron,L3,Metro,POINT (2.14251471 41.42512314)
M-L5-333,Vall d'Hebron,L5,Metro,POINT (2.14251471 41.42512314)
M-L3-334,Montbau,L3,Metro,POINT (2.14503928 41.43062016)
M-L3-335,Mundet,L3,Metro,POINT (2.1484718 41.43564527)
M-L3-336,Valldaura,L3,Metro,POINT (2.15687783 41.43799608)
M-L3-337,Canyelles,L3,Metro,POINT (2.16638755 41.44175373)
M-L3-338,Roquetes,L3,Metro,POINT (2.17609769 41.44766968)
M-L3-339,Trinitat Nova,L3,Metro,POINT (2.18285521 41.44976211)
M-L4-339,Trinitat Nova,L4,Metro,POINT (2.18285521 41.44976211)
M-L11-339,Trinitat Nova,L11,Metro,POINT (2.18285521 41.44976211)
M-L4-414,Besòs,L4,Metro,POINT (2.2103013 41.41983553)
M-L4-415,Besòs Mar,L4,Metro,POINT (2.21608159 41.415099)
M-L4-416,El Maresme | Fòrum,L4,Metro,POINT (2.21654808 41.41168572)
M-L4-417,Selva de Mar,L4,Metro,POINT (2.2091225 41.40800151)
M-L4-418,Poblenou,L4,Metro,POINT (2.20337123 41.40371612)
M-L4-419,Llacuna,L4,Metro,POINT (2.19771171 41.39942504)
M-L4-420,Bogatell,L4,Metro,POINT (2.1920124 41.3951075)
M-L4-421,Ciutadella | Vila Olímpica,L4,Metro,POINT (2.19296314 41.38664023)
M-L4-422,Barceloneta,L4,Metro,POINT (2.18478678 41.38181098)
M-L4-423,Jaume I,L4,Metro,POINT (2.17853146 41.38412627)
M-L4-426,Girona,L4,Metro,POINT (2.17082483 41.39492035)
M-L4-427,Verdaguer,L4,Metro,POINT (2.16831288 41.39996848)
M-L5-427,Verdaguer,L5,Metro,POINT (2.16831288 41.39996848)
M-L4-428,Joanic,L4,Metro,POINT (2.16322503 41.4064269)
M-L4-429,Alfons X,L4,Metro,POINT (2.16651196 41.41241568)
M-L4-430,Guinardó | Hospital de Sant Pau,L4,Metro,POINT (2.17398904 41.4159622)
M-L4-431,Maragall,L4,Metro,POINT (2.17741272 41.42412908)
M-L5-431,Maragall,L5,Metro,POINT (2.17741272 41.42412908)
M-L4-432,Llucmajor,L4,Metro,POINT (2.1733434 41.43698465)
M-L4-433,Via Júlia,L4,Metro,POINT (2.17854996 41.44373023)
M-L5-509,Cornellà Centre,L5,Metro,POINT (2.07042809 41.35728982)
M-L5-510,Gavarra,L5,Metro,POINT (2.07927278 41.35799493)
M-L5-511,Sant Ildefons,L5,Metro,POINT (2.08439279 41.36338108)
M-L5-512,Can Boixeres,L5,Metro,POINT (2.09150609 41.36657075)
M-L5-513,Can Vidalet,L5,Metro,POINT (2.09944503 41.3712788)
M-L5-514,Pubilla Cases,L5,Metro,POINT (2.10720906 41.37383759)
M-L5-515,Collblanc,L5,Metro,POINT (2.11852563 41.37583967)
