id,stop_id,name,linia,stop_type,geometry
SB-2,2,Av Icària - Àlaba,IU Stop,Bus,POINT (2.198984998801282 41.393104003754864)
SB-3,3,València - Muntaner,IU Stop,Bus,POINT (2.1578909990979396 41.388546000808674)
SB-7,7,Pl Universitat,IU Stop,Bus,POINT (2.163310002198641 41.385906997198724)
SB-8,8,Pl de Carles Buïgas,IU Stop,Bus,POINT (2.150117999333274 41.37104500250685)
SB-13,13,Sas - Claramunt,IU Stop,Bus,POINT (2.204183000631267 41.43759099894411)
SB-20,20,Antonio Machado - Artesania,IU Stop,Bus,POINT (2.1708209987695013 41.44438500256856)
SB-21,21,Palau Reial,IU Stop,Bus,POINT (2.116137003046015 41.38559299631731)
SB-22,22,Av República Argentina - Vallcarca,IU Stop,Bus,POINT (2.14397300571118 41.4113650013362)
SB-24,24,Ronda Guineueta Vella - Barri Canyelles,IU Stop,Bus,POINT (2.165218994958609 41.44432500392026)
SB-25,25,Ronda Guineueta Vella - Escola Deià,IU Stop,Bus,POINT (2.1677870058146613 41.444835001400655)
SB-31,31,Llull - Àlaba,IU Stop,Bus,POINT (2.1955200031368363 41.39601999691652)
SB-32,32,Metro Glòries,IU Stop,Bus,POINT (2.188084289126144 41.40302045927813)
SB-34,34,Av Icària - Av Bogatell,IU Stop,Bus,POINT (2.199317998139265 41.39302500168205)
SB-38,38,Marina - Ribes,IU Stop,Bus,POINT (2.1829320058197403 41.39770899748059)
SB-39,39,Pg de Sant Joan - Alí-Bei,IU Stop,Bus,POINT (2.1787870054690397 41.392553003918394)
SB-41,41,Diagonal - Doctor Fleming,IU Stop,Bus,POINT (2.1363220050508174 41.390710003087634)
SB-42,42,Diagonal - L'Illa Diagonal,IU Stop,Bus,POINT (2.133482709741999 41.38959884966507)
SB-43,43,Pg Zona Franca - Foneria,IU Stop,Bus,POINT (2.139078999232422 41.3598259993702)
SB-44,44,Pg Zona Franca - Foc,IU Stop,Bus,POINT (2.1415390038260873 41.35686299617301)
SB-48,48,Palau d'Esports Vall d'Hebron,IU Stop,Bus,POINT (2.1441649994430696 41.42792000286568)
SB-51,51,Hospital Vall d'Hebron - Natzaret,IU Stop,Bus,POINT (2.138265997037395 41.4293840018422)
SB-55,55,Pg de Gràcia - Aragó,IU Stop,Bus,POINT (2.165503005376477 41.39179999656287)
SB-58,58,Aribau - Aragó,IU Stop,Bus,POINT (2.1600790041403255 41.387898995771614)
SB-60,60,Llúria - Aragó,IU Stop,Bus,POINT (2.1679250003994155 41.39389799940192)
SB-63,63,Pg de Sant Joan - Aragó,IU Stop,Bus,POINT (2.172390995741327 41.39738599883251)
