id,stop_id,name,linia,stop_type,geometry
SF-BN,BN,La Bonanova,IU Stop,FGC,POINT (2.1364339660000002 41.39781569)
SF-EP,EP,El Putxet,IU Stop,FGC,POINT (2.139151477 41.40582569)
SF-GR,GR,Gràcia,IU Stop,FGC,POINT (2.1526623250000005 41.39909823000001)
SF-LP,LP,Les Planes,IU Stop,FGC,POINT (2.0916176 41.42740264)
SF-MG,MG,Magòria La Campana,IU Stop,FGC,POINT (2.138879447 41.367487679999996)
SF-MN,MN,Muntaner,IU Stop,FGC,POINT (2.142346041 41.39852644)
SF-PC,PC,Catalunya,IU Stop,FGC,POINT (2.168720218999999 41.38563194)
SF-PD,PD,Pàdua,IU Stop,FGC,POINT (2.142759094 41.40351065000001)
SF-PE,PE,Espanya,IU Stop,FGC,POINT (2.1484583330000007 41.374719899999995)
SF-PF,PF,Peu del Funicular,IU Stop,FGC,POINT (2.111181541000001 41.40921616000001)
SF-PM,PM,Pl. Molina,IU Stop,FGC,POINT (2.146754722 41.40169379999999)
SF-PR,PR,Diagonal,IU Stop,FGC,POINT (2.158030869 41.392814339999994)
SF-RE,RE,Reina Elisenda,IU Stop,FGC,POINT (2.1189323250000003 41.39874599)
SF-SG,SG,Sant Gervasi,IU Stop,FGC,POINT (2.147133783 41.40106608)
SF-SR,SR,Sarrià,IU Stop,FGC,POINT (2.1255748750000003 41.39849937999999)
SF-TB,TB,Av. Tibidabo,IU Stop,FGC,POINT (2.137162791 41.40964799000001)
SF-TT,TT,Les Tres Torres,IU Stop,FGC,POINT (2.1308118220000005 41.397800419999996)
SF-VL,VL,Baixador de Vallvidrera,IU Stop,FGC,POINT (2.096936777 41.420094410000004)
