poi_name,category,geometry,demand
Zona Universitària,university,POINT (2.114055470466503 41.38275273204058),202
UPF Campus Ciutadella,university,POINT (2.18508 41.3897),535
UPF Campus Poblenou,university,POINT (2.1946 41.4028),960
Universitat de Barcelona,university,POINT (2.1635 41.3869),370
UPC Campus Diagonal,university,POINT (2.1148 41.3883),206
IESE,university,POINT (2.116 41.3945),171
ESADE,university,POINT (2.1135 41.3925),800
Poblenou / 22@,office,POINT (2.198402153798261 41.40288229103046),120
Glòries,office,POINT (2.187 41.4036),714
Diagonal / Les Corts,office,POINT (2.1325 41.3875),221
Eixample,office,POINT (2.1625 41.3895),566
Passeig de Gràcia,office,POINT (2.165 41.3925),314
Plaça Catalunya,office,POINT (2.17 41.387),430
Zona Franca,employment,POINT (2.1285 41.3555),558
Cornellà,employment,POINT (2.0715 41.357),187
L'Hospitalet,employment,POINT (2.1085 41.357),472
Hospital Clínic,hospital,POINT (2.1525 41.39),199
Hospital de Sant Pau,hospital,POINT (2.1745 41.4115),971
Vall d'Hebron,hospital,POINT (2.1485 41.4265),763
Hospital del Mar,hospital,POINT (2.194 41.385),230
Hospital de Bellvitge,hospital,POINT (2.1095 41.3435),761
Hospital Sant Joan de Déu,hospital,POINT (2.112 41.3855),408
Barcelona Supercomputing Center,research,POINT (2.109 41.389),869
Barcelona Science Park,research,POINT (2.1175 41.3625),443
Parc de Recerca Biomèdica,research,POINT (2.1925 41.3865),591
