id,name,linia,stop_type,geometry
T-T1-FRMC,Francesc Macià,T1,Tram,POINT (2.143174886703491 41.3922004699707)
T-T2-FRMC,Francesc Macià,T2,Tram,POINT (2.143174886703491 41.3922004699707)
T-T3-FRMC,Francesc Macià,T3,Tram,POINT (2.143174886703491 41.3922004699707)
T-T1-ILLA,L'Illa,T1,Tram,POINT (2.1364970207214355 41.390560150146484)
T-T2-ILLA,L'Illa,T2,Tram,POINT (2.1364970207214355 41.390560150146484)
T-T3-ILLA,L'Illa,T3,Tram,POINT (2.1364970207214355 41.390560150146484)
T-T1-NMNC,Numància,T1,Tram,POINT (2.131953001022339 41.389339447021484)
T-T2-NMNC,Numància,T2,Tram,POINT (2.131953001022339 41.389339447021484)
T-T3-NMNC,Numància,T3,Tram,POINT (2.131953001022339 41.389339447021484)
T-T1-MRCR,Maria Cristina,T1,Tram,POINT (2.1265079975128174 41.387969970703125)
T-T2-MRCR,Maria Cristina,T2,Tram,POINT (2.1265079975128174 41.387969970703125)
T-T3-MRCR,Maria Cristina,T3,Tram,POINT (2.1265079975128174 41.387969970703125)
T-T1-PIUS,Pius XII,T1,Tram,POINT (2.121603012084961 41.38671875)
T-T2-PIUS,Pius XII,T2,Tram,POINT (2.121603012084961 41.38671875)
T-T3-PIUS,Pius XII,T3,Tram,POINT (2.121603012084961 41.38671875)
T-T1-PLRL,Palau Reial,T1,Tram,POINT (2.1184608936309814 41.385921478271484)
T-T2-PLRL,Palau Reial,T2,Tram,POINT (2.1184608936309814 41.385921478271484)
T-T3-PLRL,Palau Reial,T3,Tram,POINT (2.1184608936309814 41.385921478271484)
T-T1-UNIV,Zona Universitària,T1,Tram,POINT (2.114435911178589 41.38426971435547)
T-T2-UNIV,Zona Universitària,T2,Tram,POINT (2.114435911178589 41.38426971435547)
T-T3-UNIV,Zona Universitària,T3,Tram,POINT (2.114435911178589 41.38426971435547)
T-T1-XILE,Avinguda de Xile,T1,Tram,POINT (2.1148359775543213 41.380741119384766)
T-T2-XILE,Avinguda de Xile,T2,Tram,POINT (2.1148359775543213 41.380741119384766)
T-T3-XILE,Avinguda de Xile,T3,Tram,POINT (2.1148359775543213 41.380741119384766)
T-T1-LLUC,Ernest Lluch,T1,Tram,POINT (2.110785961151123 41.37648010253906)
T-T2-LLUC,Ernest Lluch,T2,Tram,POINT (2.110785961151123 41.37648010253906)
T-T3-LLUC,Ernest Lluch,T3,Tram,POINT (2.110785961151123 41.37648010253906)
T-T1-SRMN,Can Rigal,T1,Tram,POINT (2.1059279441833496 41.376121520996094)
T-T2-SRMN,Can Rigal,T2,Tram,POINT (2.1059279441833496 41.376121520996094)
T-T3-SRMN,Can Rigal,T3,Tram,POINT (2.1059279441833496 41.376121520996094)
T-T1-OLIV,Ca n'Oliveres,T1,Tram,POINT (2.0984079837799072 41.376609802246094)
T-T2-OLIV,Ca n'Oliveres,T2,Tram,POINT (2.0984079837799072 41.376609802246094)
T-T3-OLIV,Ca n'Oliveres,T3,Tram,POINT (2.0984079837799072 41.376609802246094)
T-T1-CLOT,Can Clota,T1,Tram,POINT (2.093522071838379 41.37696075439453)
T-T2-CLOT,Can Clota,T2,Tram,POINT (2.093522071838379 41.37696075439453)
T-T3-CLOT,Can Clota,T3,Tram,POINT (2.093522071838379 41.37696075439453)
T-T1-PTSP,Pont d'Esplugues,T1,Tram,POINT (2.088606119155884 41.3768310546875)
T-T2-PTSP,Pont d'Esplugues,T2,Tram,POINT (2.088606119155884 41.3768310546875)
T-T3-PTSP,Pont d'Esplugues,T3,Tram,POINT (2.088606119155884 41.3768310546875)
T-T1-SRDN,La Sardana,T1,Tram,POINT (2.08400297164917 41.3727912902832)
T-T2-SRDN,La Sardana,T2,Tram,POINT (2.08400297164917 41.3727912902832)
T-T3-SRDN,La Sardana,T3,Tram,POINT (2.08400297164917 41.3727912902832)
T-T1-MNTS,Montesa,T1,Tram,POINT (2.080928087234497 41.36956024169922)
T-T2-MNTS,Montesa,T2,Tram,POINT (2.080928087234497 41.36956024169922)
T-T3-MNTS,Montesa,T3,Tram,POINT (2.080928087234497 41.36956024169922)
T-T1-PDRO,El Pedró,T1,Tram,POINT (2.0766749382019043 41.365318298339844)
T-T2-PDRO,El Pedró,T2,Tram,POINT (2.0766749382019043 41.365318298339844)
T-T1-IIGL,Ignasi Iglésias,T1,Tram,POINT (2.072671890258789 41.36124038696289)
T-T2-IIGL,Ignasi Iglésias,T2,Tram,POINT (2.072671890258789 41.36124038696289)
T-T1-CNLL,Cornellà Centre,T1,Tram,POINT (2.0699169635772705 41.35744094848633)
T-T2-CNLL,Cornellà Centre,T2,Tram,POINT (2.0699169635772705 41.35744094848633)
T-T1-AIGU,Les Aigües,T1,Tram,POINT (2.0660688877105713 41.35667037963867)
T-T2-AIGU,Les Aigües,T2,Tram,POINT (2.0660688877105713 41.35667037963867)
T-T1-FTJO,Fontsanta | Fatjó,T1,Tram,POINT (2.0622220039367676 41.3603401184082)
T-T2-FTJO,Fontsanta | Fatjó,T2,Tram,POINT (2.0622220039367676 41.3603401184082)
T-T1-BVIA,Bon Viatge,T1,Tram,POINT (2.058816909790039 41.36460876464844)
T-T2-BVIA,Bon Viatge,T2,Tram,POINT (2.058816909790039 41.36460876464844)
T-T2-CTMP,Centre Miquel Martí i Pol,T2,Tram,POINT (2.071197032928467 41.36865997314453)
T-T2-FSTA,La Fontsanta,T2,Tram,POINT (2.062952995300293 41.36779022216797)
T-T2-BDOR,Llevant - Les planes,T2,Tram,POINT (2.0761170387268066 41.37086868286133)
T-T3-HTV3,Hospital Sant Joan Despí | TV3,T3,Tram,POINT (2.0756781101226807 41.37239074707031)
T-T3-RBSJ,Rambla de Sant Just,T3,Tram,POINT (2.075050115585327 41.37882995605469)
T-T3-WLDN,Walden,T3,Tram,POINT (2.066896915435791 41.37971878051758)
T-T3-TRBL,Torreblanca,T3,Tram,POINT (2.0608251094818115 41.3797607421875)
T-T3-CCML,Sant Feliu | Consell Comarcal,T3,Tram,POINT (2.0533719062805176 41.37936019897461)
T-T5-CTDL,Ciutadella | Vila Olímpica,T5,Tram,POINT (2.1919169425964355 41.38761901855469)
T-T6-CTDL,Ciutadella | Vila Olímpica,T6,Tram,POINT (2.1919169425964355 41.38761901855469)
T-T5-WLTN,Wellington,T5,Tram,POINT (2.1884829998016357 41.39017105102539)
T-T6-WLTN,Wellington,T6,Tram,POINT (2.1884829998016357 41.39017105102539)
T-T5-MRNA,Marina,T5,Tram,POINT (2.1869170665740967 41.39405822753906)
T-T6-MRNA,Marina,T6,Tram,POINT (2.1869170665740967 41.39405822753906)
T-T5-ATTR,Auditori | Teatre Nacional,T5,Tram,POINT (2.186892032623291 41.39754104614258)
T-T6-ATTR,Auditori | Teatre Nacional,T6,Tram,POINT (2.186892032623291 41.39754104614258)
T-T4-GLRS,Glòries,T4,Tram,POINT (2.186897039413452 41.40167999267578)
T-T5-GLRS,Glòries,T5,Tram,POINT (2.186897039413452 41.40167999267578)
T-T6-GLRS,Glòries,T6,Tram,POINT (2.186897039413452 41.40167999267578)
T-T4-ARNY,Ca l'Aranyó,T4,Tram,POINT (2.191499948501587 41.404449462890625)
T-T4-PRIV,Pere IV,T4,Tram,POINT (2.198246955871582 41.4061393737793)
T-T4-FVIA,Fluvià,T4,Tram,POINT (2.2049078941345215 41.40782165527344)
T-T4-SLVA,Selva de Mar,T4,Tram,POINT (2.210447072982788 41.4091911315918)
T-T4-DGMR,El Maresme,T4,Tram,POINT (2.2156310081481934 41.41048812866211)
T-T4-FRUM,Fòrum,T4,Tram,POINT (2.2198500633239746 41.41183090209961)
T-T4-CDBE,Campus Diagonal - Besòs,T4,Tram,POINT (2.222928047180176 41.41524887084961)
T-T4-PORT,Port Fòrum,T4,Tram,POINT (2.226161003112793 41.41886901855469)
T-T6-PORT,Port Fòrum,T6,Tram,POINT (2.226161003112793 41.41886901855469)
T-T4-SABS,Estació de Sant Adrià,T4,Tram,POINT (2.2305500507354736 41.4239501953125)
T-T6-SABS,Estació de Sant Adrià,T6,Tram,POINT (2.2305500507354736 41.4239501953125)
T-T5-JAUM,Can Jaumandreu,T5,Tram,POINT (2.1935970783233643 41.408111572265625)
T-T6-JAUM,Can Jaumandreu,T6,Tram,POINT (2.1935970783233643 41.408111572265625)
T-T5-ESPR,Espronceda,T5,Tram,POINT (2.197942018508911 41.41136169433594)
T-T6-ESPR,Espronceda,T6,Tram,POINT (2.197942018508911 41.41136169433594)
T-T5-STMR,Sant Martí de Provençals,T5,Tram,POINT (2.2047441005706787 41.41646957397461)
T-T6-STMR,Sant Martí de Provençals,T6,Tram,POINT (2.2047441005706787 41.41646957397461)
T-T5-BSOS,Besòs,T5,Tram,POINT (2.2095561027526855 41.42007064819336)
T-T6-BSOS,Besòs,T6,Tram,POINT (2.2095561027526855 41.42007064819336)
T-T5-ALFS,Alfons el Magnànim,T5,Tram,POINT (2.213568925857544 41.41719055175781)
T-T6-ALFS,Alfons el Magnànim,T6,Tram,POINT (2.213568925857544 41.41719055175781)
T-T5-PARC,Parc del Besòs,T5,Tram,POINT (2.217633008956909 41.419429779052734)
T-T6-PARC,Parc del Besòs,T6,Tram,POINT (2.217633008956909 41.419429779052734)
T-T5-CTLN,La Catalana,T5,Tram,POINT (2.2219529151916504 41.42264938354492)
T-T5-STJB,Sant Joan Baptista,T5,Tram,POINT (2.225403070449829 41.427391052246094)
T-T5-NKNS,Encants de Sant Adrià,T5,Tram,POINT (2.2226059436798096 41.430240631103516)
T-T5-STRC,Sant Roc,T5,Tram,POINT (2.2275969982147217 41.434940338134766)
T-T5-GORG,Gorg,T5,Tram,POINT (2.2332189083099365 41.43996810913086)
T-T6-MINA,La Mina,T6,Tram,POINT (2.2209999561309814 41.41838073730469)
T-T4-VGUE,Verdaguer,T4,Tram,POINT (2.1674270629882812 41.39842987060547)
T-T4-SCIL,Sicília,T4,Tram,POINT (2.1742939949035645 41.400150299072266)
T-T4-MNUM,Monumental,T4,Tram,POINT (2.181166887283325 41.40189743041992)
